,ID,Tweet,Affect Dimension,Intensity Score,target
125,2018-En-00600,whats for #breakfast today ? i have 2 slices of #bread out i #toast them #spread them with #butter &amp; #strawberry jem and yum #delicious !,joy,0.632,0
126,2018-En-00237,You can't stay mad at someone who makes you smile.,anger,0.125,0
127,2018-En-03008,Who will help me to be a Millionaire? #business #small_business #Millionaire #start_small_business #money #start #my #business\n:);),fear,0.2,0
128,2018-En-02912,"Quite glad for a spot of rain, and happy it held off until ‘lunch’ so daughter no1 could enjoy circus antics at school this am.",joy,0.6409999999999999,0
129,2018-En-01642,Featuring grilled halibut with a lime basil crust and a yellow tomato and lobster coulis #yummy #seafood,joy,0.563,0
130,2018-En-01518,"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",joy,0.545,0
131,2018-En-00023,"Home … Grab a cheer for and check out our sweet early bird deals. Have a safe, free day",joy,0.516,0
132,2018-En-02075,@Bemannn UGH I can't even contain my excitement!! 😍,joy,0.8590000000000001,0
133,2018-En-02560,They love and want each other very much but they're timid and egoistical and just... just let your walls down!!!,fear,0.268,0
134,2018-En-03048,i think i'll be sad from today until 357632477 years later....im not getting over this sadness,sadness,0.8909999999999999,1
135,2018-En-03447,YOU MIGHT BE TRYING TO FILL THE VOID IN YOUR #HEART WITH ALL SORTS OF THINGS BUT THAT PLACE BELONGS TO JESUS CHRIST #music #worry #love #SMM,anger,0.21,0
136,2018-En-00887,"✩ We're happy, free, confused, and lonely at the same time\nIt's miserable and magical\n¤",sadness,0.196,0
137,2018-En-03856,"@MartinPincot Haha @MartinPincot -  just sent a sext to the vicar with a holy, holy, twist --- My bad 😂\n \n#Fun #joy #laughter \n👿 ..... 😇",joy,0.594,0
138,2018-En-03417,I hope everyone has a safe and fantastic day!!! 😊,joy,0.672,0
139,2018-En-01741,@RealHughJackman B E A utiful #smile \nalways keep smiling be happy &amp; remember me in your smiles,joy,0.6970000000000001,0
140,2018-En-02223,@mandersonmsp84 @jamadoria I'm in tears. This is so heartbreaking 😭,sadness,0.917,1
141,2018-En-03759,"Hon. Miss Dashwood, whose manners very pretty face, she offended you have done before.",fear,0.371,0
142,2018-En-00020,@Retale It would be #awesomeness to win this for my 2 girls.,joy,0.62,0
143,2018-En-01519,"The dictionary words for #joy are – gladness, cheerfulness, exultation, rapture, pleasure, delight.",joy,0.5479999999999999,0
144,2018-En-03280,"Playing at July 11, 2017 at 09:30PM: Special '20 ",sadness,0.185,0
145,2018-En-00429,"One arm around my waist, hand down my crouch to pull me towards yourself with. You behind my back, jeans around your ankles you inside",fear,0.3,0
146,2018-En-02321,@annie_hawthorne Just one? 😄  Cress and Thorne from the Lunar Chronicles. Good character arcs + absolutely adorable.,joy,0.667,0
147,2018-En-01925,",, The solar eclipse was really cool.. #inspiring!",joy,0.609,0
148,2018-En-02860,It's okay sus. Let that hurt go 🤗 * that's me hugging ya bitter ass * 😂😂😂,fear,0.259,0
149,2018-En-03192,I'm BEYOND entertained 😂 and in this case it's a sad thing to witness 😂😂 watch and loving the dms 😘 #flattered #cantdoitlikeme #poorthing 😋,joy,0.7190000000000001,0
150,2018-En-02007,On our way to #Gamescom17 What can we expect and who will we meet? #excitement,joy,0.594,0
151,2018-En-03126,"Another cup of coffee with cookies and smart, intelligent, brilliant ,the best  #attorneysatlaw . What can I do? God made us! #happy",joy,0.855,0
152,2018-En-03188,@ChrisCuomo Same as the bully in second grade. Classic.,fear,0.375,0
153,2018-En-02828,My #dark heart is filled with glee whenever I hear #thunder.,sadness,0.22399999999999998,0
154,2018-En-03452,Who ever knew it would feel good to have such a wonderful hour and a half interview? 😁 #smiling #success,joy,0.875,0
155,2018-En-00778,Feeling #adorable in my WalMart pajamas. #JenniMiller #JenniMiller29 #louiselinton,joy,0.662,0
156,2018-En-00056,I love to start a writing session with 'Moon River' from the BREAKFAST AT TIFFANY'S soundtrack performed by Audrey Hepburn #amwriting #bliss,joy,0.6409999999999999,0
157,2018-En-02944,i do love shack shake,fear,0.11199999999999999,0
158,2018-En-02587,"@Kara1818 I’m glad to hear that, Kara. Don’t hesitate to get in touch again if you need to! Cheryl",fear,0.125,0
159,2018-En-03926,Good morning! I hope you all have an amazing Wednesday. #wednesday #positivevvibes ,joy,0.7340000000000001,0
160,2018-En-02349,Can't sleep.. been awake for hours! Still haven't come up with an answer.. #stressed #cantsleep #sotired ,sadness,0.807,1
161,2018-En-00019,@ChristinaSNP All this great news.... it must be hurting some folk to be happy about this. 😊,fear,0.33899999999999997,0
162,2018-En-01748,Love getting them calls ,joy,0.547,0
163,2018-En-01929,Lady singing really loudly with headphones on making everyone giggle @greateranglia #train #journey #smile,joy,0.547,0
164,2018-En-02822,DC Young fly is hilarious man.,joy,0.545,0
165,2018-En-02144,@GraysonDolan Happy Tuesday Gray ❤❤❤ #excited,joy,0.7340000000000001,0
166,2018-En-01783,@071304Nathan Happy #blissful birthday,joy,0.7120000000000001,0
167,2018-En-03861,Happy right now I just beaten the second game of crash bandicoot one more to go now didn't get that mad 😡 at the game lol 😂,anger,0.258,0
168,2018-En-02272,All the proud parents on fb about their kids school report and am shitting myself for Graces arriving 😂😂😂  #troublemaker,sadness,0.268,0
169,2018-En-04126,Going to #BigApple tomorrow! Loving #NJTransit #commute! Wearing #khakis #whiteshirt #maybeblue #brownshoes #macys #joy #jealousyet?\n#usa,joy,0.667,0
170,2018-En-00201,Let's start all over again.....\n#feels #lover #happiness #loyalty #truth,joy,0.515,0
171,2018-En-01542,@LisaCim @AcaciaEvans This is the best picture I have ever seen! #beautiful #happy,joy,0.828,0
172,2018-En-01683,"@hyde_myself Yes, Mom. That's my alarm XD",fear,0.31,0
173,2018-En-01383,Coming up on snap chat so add me asap MATEO_BKNY #snapchat,anger,0.113,0
174,2018-En-01369,It takes a smoke detector 4 months to stop beeping if you were wondering how #lazy I am. #lol #funny #Comedy #laughs #CrackMeUp #hilarious,joy,0.53,0
175,2018-En-01444,'The happiest moments in life are not actually spent laughing or smiling the whole time with so many people around.'\n#JonaxxBBTWKab39,joy,0.531,0
176,2018-En-02967,Thank you for sending random kind people into my life when I need them the most #smiling #grateful,joy,0.6970000000000001,0
177,2018-En-04112,"@BuffettSongs 'life is so spicy up on bar-b-q hill.....looking good, you look so fine' #soveryfine #wow #:)",joy,0.578,0
178,2018-En-02642,1-3KohGeーBuddhism verse for cleanse oneself with incense #Buddha,anger,0.20199999999999999,0
179,2018-En-04022,The point of maximum danger is the point of minimum fear.,fear,0.366,0
180,2018-En-01205,@LogitechUK Been there done that ,fear,0.31,0
181,2018-En-02393,This is legit one of the coolest experiences of our lifetime. #amazing #solareclipse,joy,0.645,0
182,2018-En-00051,"You aren't weathly until you have something, money can't but. \n #goodmorning   #bless #guidelife #usa #uk #ksa",joy,0.545,0
183,2018-En-02179,"'You dare threaten me, Thor, with so puny a weapon?'",fear,0.304,0
184,2018-En-00193,Make her burst into laughter bcs of you.,anger,0.172,0
185,2018-En-01235,@empireofthekop Are we sponsored by #Tango now ? #whopicksthesecolours #youvebeentangoed  #kak,fear,0.23399999999999999,0
186,2018-En-02040,hate tan lines but refuse to tan at a salon anymore. 🙄 ,sadness,0.28600000000000003,0
187,2018-En-00284,"-whatever life gives you even if it hurts, just be strong and act the way you always do because strong walls shake but never collapse",fear,0.36200000000000004,0
188,2018-En-02823,A joyless faith is not one for which Jesus died. #thegospel #joy #Jesus #happiness,sadness,0.152,0
189,2018-En-02360,"You can be discouraged by failure or you can learn from it. -- Thomas J. Watson,#motivationalquote,#success",sadness,0.214,0
190,2018-En-01177,Whether my glass is half empty or its half full. I'm just grateful I even have a glass and that there's something in it.\n #optimism 🤔,joy,0.547,0
191,2018-En-02777,"So today, the love of my life moved in with me 😍😉😘 #happy #excited",joy,0.968,0
192,2018-En-03574,Bus model and industry make huge diff to value - Soft cos cost structure scales diff than Hard co. Need to know when raising #vc #start,fear,0.33899999999999997,0
193,2018-En-01722,Great way to end the day(night?morning?) #😄,joy,0.606,0
194,2018-En-02385,"I've lost many things, but earned many more. #grateful",joy,0.545,0
195,2018-En-03513,@LATMultilingual #whattheworldneedsnow indeed; #laughter #fun #smiles #joy. #VanBiennale team are already in the mood!,joy,0.75,0
196,2018-En-03284,Watching @JamesAcaster clips in bed. Actual legend. Never fails to put me in a good mood. #comedy #legend #love #laughter #bedtime x,joy,0.6409999999999999,0
197,2018-En-01144,I see where Farrah gets her rudeness from. Her mother was as horrible to Dr Drew tonight  as she was. These women need help #TeenMomOG,fear,0.375,0
198,2018-En-03497,"It’s a bit funny to me, although you’re everything to me\nsometimes I am no better than a stranger\n-Sing for you- 😊",joy,0.529,0
199,2018-En-00732,@lil_hooper30 HAPPY BIRTHDAY TWINNN!!!! 💓😘 have a great day love ya!!!,joy,0.8029999999999999,0
200,2018-En-02351,Hey @Apple I hope you guys don't release that #horrendous looking copper color.  Might as well walk around with a pocket full of pennies 😂,fear,0.24100000000000002,0
201,2018-En-02902,@RuckMeFunning I'd hope she has bigger things to fret over lol,anger,0.152,0
202,2018-En-00436,@Bethanblog Happy to help :) If there is anything we can do for you please don't hesitate to ask. - Thanks - James K,fear,0.083,0
203,2018-En-04020,@Malala Happy day to you Malala 👏🏻😃I seem to share a birthday with you #inspiring #women #education,joy,0.682,0
204,2018-En-04008,Was watching more Subnatica so fun and funny and IGP is so hilarious #funny #omg #amazing #nice #hilarious,joy,0.706,0
205,2018-En-00554,One week on SW and going to gym. Smashed it #weekone  #goals #sw,fear,0.326,0
206,2018-En-04180,"seulgi, fret not. that's okay!",anger,0.172,0
207,2018-En-00218,Well done to all the year 6's at @HarlescottJrSch in their leavers concert today you were #amazing #confident #funny #notadryeyeinthehouse 😍,joy,0.6940000000000001,0
208,2018-En-02460,It's arrived and can't wait to read and learn! #specialneedsandlegalentitlement 2nd edition. If it's as good as the 1st edition ,joy,0.726,0
209,2018-En-04162,"In order to #expand beyond the places that are familiar, you have to do things that scare you.",fear,0.33299999999999996,0
210,2018-En-03627,Ten: Amazing the snap power @AdrianMannarino gets off such a short back-swing! #threat @Wimbledon Rd of 16 #ATP 🎾🎾,fear,0.28600000000000003,0
211,2018-En-04359,@birdtabs A pleasure! ☺ the directory great way to start exploring new opportunities,joy,0.516,0
212,2018-En-00310,@crumbs_oh @tradasro @WingsScotland @theSNP @STVNews @Channel4News Since when was being 'fair to Scotland' a concern for the British state?,fear,0.36200000000000004,0
213,2018-En-01453,Always look on the bright side of life ☀️ #motivation,joy,0.703,0
214,2018-En-02697,@DiceMore I guess she got tired of her war on Tony that's been raging for about a year.,sadness,0.24,0
215,2018-En-00646,@IrregularChoice ..about 6/7 of the rose gold balls have come off 😭 #devastated,sadness,0.833,1
216,2018-En-03409,"Absolutely blown away by @BatTheMusical this evening 😍 Such incredible sets, slick choreography and holy moly what insaaane vocals! #awe",fear,0.13,0
217,2018-En-03969,@Jesus_Luvs_Us Hello Jillian &amp; JC - a nice wisg from Betty for blessings to us all - I wish you the same - have a wonderful Tuesday! 😀,joy,0.7340000000000001,0
218,2018-En-03189,"@johntassparker Well, at the time, I think there was that concern. Now it is all bright and shiny with a price tag to match.",sadness,0.231,0
219,2018-En-02770,party tattoos by dodie has become my cheer up song ✨,joy,0.506,0
220,2018-En-02654,Today marks seven years since the Kyadondo terrorist attack where many lost loved ones. We mourn &amp; pray they continue resting in peace. 7/11,sadness,0.833,1
221,2018-En-01558,You know you chose a good husband when he prepares lunch for you early in the morning 💞 #tears,sadness,0.107,0
222,2018-En-01781,#note8 #animated said pen. Amazing. Wife loves this one,joy,0.597,0
223,2018-En-01787,In our daily liveswe must see that it is not happiness that makes us grateful but being grateful that makes us happy.,joy,0.606,0
224,2018-En-00127,Hello twitter! My next few tweets are going to be a bit gushy.... Look away if you're feeling bilious!!!,sadness,0.222,0
225,2018-En-04036,"After 10 days of suffering from Dengue, I'm finally good and going. 😎 #rejoice",joy,0.645,0
226,2018-En-00301,the only problem people should have in the morning is burning their tounges on hot coffee (like i just did),fear,0.32799999999999996,0
227,2018-En-03844,no matter how many sad ghost man tears he's crying now! you are not entitled to forgiveness just because you're really sad now!!,sadness,0.804,1
228,2018-En-03426,I LOVE @AerialWarehouse - conquering my #fears and gaining #strength and #grace 💪🏼💫💜 #aerialsilks #aerialarts,fear,0.28600000000000003,0
229,2018-En-02823,A joyless faith is not one for which Jesus died. #thegospel #joy #Jesus #happiness,anger,0.203,0
230,2018-En-02432,"You want to know why I was laughing? It was a #solemn occasion, that's why. And she was always laughing, wasn't she? #VSS365",sadness,0.271,0
231,2018-En-03836,'Little bit leave it' the best bit of love island so far 😂🌴 #loveisland #hilarious #No1,joy,0.609,0
232,2018-En-01577,#Two legged stool sample... #humor #serious #comedy,sadness,0.212,0
233,2018-En-02716,"#ThursdayThoughts The richest wealth is #Wisdom, the strongest weapon is #peace, the best security is #faith &amp; the best tonic is #laughter",joy,0.594,0
234,2018-En-03691,@cpwomensopen @BrookeHenderson @CHEOhospital @OttawaHuntClub #Priceless  love those #smiles,joy,0.531,0
235,2018-En-01992,Super excited and Counting down the hours until I see @Pink tomorrow night!!! #awesomeness 😍,joy,0.935,0
236,2018-En-00833,"Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you @AmyLeighMercree",joy,0.613,0
237,2018-En-03793,Without #laughter life on our planet would be intolerable.,joy,0.531,0
