,tweet,target
106,"Yet another sleepless night. I record 'comfort' stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee, small hours. With my little dog ?  ",1
107,Wooo so happy right now! Just bought my tickets to see @NiallOfficial next summer in Dublin.Can't wait 😁 #niallhoran #Dublin #music ,0
108,Find the lost and the lonely. They need you.    pic.twitter.com/BtM7BpcUGQ,0
109,promoting taeny while tiff is here yes 👌,0
110,"@magicpencil I'd just whip up a cake batter or cookies &amp; throw it in 😀 bakewell, frangipani is made with almonds",0
111,@MaxineWaters Love you! #relentless Thank you for being a voice for our country!,0
112,Look at this little guy! He is connecting to his magical self.😇\nWhat do you do to keep life magical?🌈 @AnewPerspective #magical  #be,0
113,Its 2:37 & I event left nor have I ate....,0
114,Chad and Sarah is honestly me and my ex 10 years ago 😂😂 #CBB #horrifying,0
115,NEW MUSIC FRIDAY: FIRST SINGLE OFF THE NEXT PROJECT. #untitled #mattrod #hiphop #boston #hartford #animosity #thesemycities,0
116,Can't stop listening to the  album  so beautiful  pic.twitter.com/NoKZ0e1Hlp,0
117,That moment when you get blindsided by something you wasn't expecting & now in a state of total disappointment & heartache....,1
118,when can I really respect and love myself more than anybody else?,1
119,I just asked this customer about her cable box and she went left field and was telling me all the issues in her life ????,0
120,Damn so much snow why did I even look outside  ???”,0
121,Love to find pics of me! (not my pic) Because love hurts ???§???¥    ??’”,0
122,"If I DM you , Will you reply me...?   ",0
123,My love for black people does not mean I resent white people.,0
124,Crying once again…I have something repeating in my head over and over…I'm crying…,1
125,Happy happy birthday to the girl who never fails to brighten up everyone's day! Thank you for everything! I'll always be here for you. 🤗,0
126,Someone quoted and hash tagged one of my tweets once with ,0
127,"You are MINE, my baby, my headache, my love, my smile, my frown, my wrong, my right, my pain, my happiness, my everything.",0
128,Nearly 12 o'clock and we are here listening to music and my girlie is making me howl with her dancing #oldtunes #daughter #laughs #memories,0
129,On our way to #Gamescom17 What can we expect and who will we meet? #excitement,0
130,Done absolute fuck all the last 2days ,1
131,People with depression are 4x more likely to have a heart attack ,0
132,OMG! The commanding staff soon sensing the  of the situation of the country estimated at 70 billion,0
133,My mom's Puerto Rican. That's why i'm so lively and colorful.,0
134,"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",1
135,I accidentally Fucked up my hair  ??????,0
136,My soon to be ex wife needs to learn to chill out &amp; smile ,0
137,"New Years Eve,The day I always dread.???? ",0
138,This time last year I was on a plane to New York...,0
139,@jaimitoelcrack7 Seriously...I've been sitting here for five minutes watching this in awe. It never gets less amazing.,0
140,"As we think abt  across t generations at this time, a turkey sandwich & mince pie, in t company of strangers is seldom effective",0
141,This is the day that the lord has made I will rejoice and BE GLAD IN IT! 🙌🏿🌟 #blessed #favored #loved #,0
142,Getting on the jd and coke   ,0
143,Sometimes love is so painful it eats you up until your nothing   ,1
144,And I can’t do anything about it ????   pic.twitter.com/xviBD0HpaE,1
145,Take #photographs of life and write them in #journals #motivation #inspiration #life  #love #inspire #smile #quotestoliveby,0
146,Go harder when everyone else has had enough. #relentless #Cleaner,0
147,"Riding the metro into , the feeling of  is palpable this morning.",1
148,Just want to stay in bed all day... ,1
149," aw this Steve story is heartbreaking.  is THE Worst feeling in the world. Well done, great job on storyline ???‰",0
150,"Morning! Good vibes today people!! It's July 11, 2017 at 09:00AM #goodmorning #twitter #happy",0
151,When you feel like shit and have no one to vent too   ,1
152,"""I used to think that the worst thing in life was to end up alone. It's not. The worst thing in life is to end up with people who make you feel alone"".   ",0
153,Then daddy wanna call talking bout wake up and shake that ass 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,0
154,@aacobe so you no its bibby time  lol,0
155,"Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness: - Psalm 95:8 KJV",0
156,Starting to feel really anxious and sad and empty. ,1
157,I'm trying not to be  enough to start posting song lyrics. Can I just sleep until 2017?,0
158,My morning protein shake. Delicious way to assure I start my day the right way with 21 gms of whey protein. #protein #shake #morning,0
159,"And now that Im having the other way around, i feel so upset and sad",1
160,Well played radio station. Playing the song 'Total Eclipse of the Heart' at the start of the eclipse! #Eclipse #brilliant,0
161,The team looked so uninspired after 20-30 mins day. You'd think the HT team talk would have helped. Guess again.  ,0
162,Imagine having a figure like  ffs I’d never wear clothes! shes just bloody perfect - wish I hadn’t seen these photos    pic.twitter.com/EKeUu6aXvY,0
163,@Arquipimp 😂😂😂😂\nU mean overprice English clubs\nReal Madrid see bayern as no threat then look 😂,0
164,@LisaCim @AcaciaEvans This is the best picture I have ever seen! #beautiful #happy,0
165,When you're saving loads of money not drinking so you start buying ALL THE THINGS #sobergirlproblems  #sobriety,0
166,The  is no joke as I have suffered from   myself at this time of year I implore you to look after yourself & loved ones,0
167,Why it's simple to just stop texting,1
168,Have to work everyday for the rest of the year ,1
169,"I've been in a funk all day, just feeling a little down  ",1
170,"Psalm 2:12 Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little.",0
171,It's weird that I get 300x more depressed over Christmas break every year.  ,1
172,@CutTimeComic They are adorable !!! I need them all 😭,0
173,Real happiness comes from the person who you truly love the most.. 😍 #071117,0
174,Before you label yourself as  or low  make sure you're not simply in fact surrounded by... pic.twitter.com/QrpK8Kn9pR,0
175,I am the writer of my own disasters,0
176,Wish I was watching a meaningful game. ,0
177,"Anyway, I walk around the house, and I try not to look at things, try not to think of her. But that's all I can do. All I do is feel this deep pain, this deep longing. I see her again. I remember when I was in Germany, and she left. ",1
178,@mrsebastian696 @Twitter HAPPY BIRTHDAY!! :D,0
179,I'm gonna see you one last time,1
180,Going through  are like going through .,1
181,Ot6 still exist? #julid #deletesoon ,0
182,i do love shack shake,0
183,Listening to @danauerbach and watching the #eclipse at the dog park #bliss,0
184,"Well, goodbye gents, my life is over...  ",1
185,"So sick of having the same new year resolution.. To get hitch, get love and be happy..maybe  will be just staying alive..",1
186,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK,0
187,"With ageing populations at risk of  and  (and depression's myriad health effects so higher healthcare costs), as well as rising childcare costs, approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com/QouBTSRhR6",0
188,When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,1
189,Damn I'm the only one who didn't get JB tickets??,0
190,Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1
191,"Here it is, 1:20am, and I'm wide awake. I thought  was supposed to know my ass out? Instead my mind is racing.  ",1
192,@BugsySeigal been reading your Twitter this lunchtime... you're very angry aren't you 😂😂,0
193,One of the common misunderstandings about depression is that it's similar to feeling sad or down. Sometimes a people with hopelessness feels depression or vice versa.     pic.twitter.com/iS5JSTQKPP,0
194,"I'm an Indians fan so, I hate Joe Buck. Im glad he looks old af now. 😂 #bitter #AllStarGame",0
195,Still can't fit any of my jeans. ,0
196,Less than 7 weeks to go ,0
197,Only the insecure withhold praise of another's achievements     ,0
198,That moment when your depression kicks in even more....,1
199,All I want is get my sister @ashleyclaw &amp; @chrisdelia in a room and listen to both of them laugh #Hollywoodimprov #laughteristhebestmeds #😂,0
200,"She would have some understanding. But noone, noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think, if I could only be with her again. ",1
201,All my photos from July disappeared. I could cry. Santa what have you done............,0
202,Hey @TheTimMcGraw #imwearingyourshirt today!! #humbleandkind  #awesomeness #timmcgraw #wqmx @949WQMX @KeepinItCntry @JulieMN13,0
203,@LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,0
204,A boo would be nice but nobody loves me ????,1
205,Happy right now I just beaten the second game of crash bandicoot one more to go now didn't get that mad 😡 at the game lol 😂,0
206,"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ",1
207,@PrisonPlanet @DonaldJTrumpJr I read they pissed in Trump's bed 😀,0
208,118   ????????????????????????????????????????????????????????????????????????????????????   ???????????  ?????????????????????????????w  ??????????????????????????????????????????????????????????  ??????????????????????????????????????????????????  ???????????????????????????????????.......  pic.twitter.com/ZeQ2QHgY0U,0
209,It’s only 3 o’clock in the afternoon and it’s dark and raining  Like mad! I hate this so much!,0
210,I just want to watch One Punch Man and not get out of bed.,1
211,@ThePURCompany I have tried #PUR Mojito Lime mints They are #delicious 😘Happy #NationalMojitoDay to all #contest #win ✅💚,0
212,I’m now  I will be blacking out my pfp and deactivating. Expect to see me back in 2 minutes tho cuz I’m a clout chaser.,0
213,"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",0
214,@TommySandhu @bbcasiannetwork tommy you r phenomenal smashed #ajjdin on the mixes #hilarious and #awesome 😜😂😂👍🏻,0
215,@Monarch Really??? I've had to hang up! ,0
216,Can we stop complaining about  until we recognize that we have institutionalized self-sufficiency and pathologized human interaction?  pic.twitter.com/sCFjoC5yOw,0
217,Gm and have a  #Tuesday!,0
218,114  ??????????????????????????????????????????????????????????.......?????????????????????????   ?????????w??????????????????w??????????w   ??????????????????????????????????????????????????????????????????????2?????????????????????????   ?????????????????????????????????     ??????????????????????????????????????????????????????  pic.twitter.com/8JfdnOID7w,0
219,I'm shaking in my boots now. The Taffia are in full flow 😂😂,0
220,"@AvrilLavigne Mom A. i saw ur insta, why? ur picture black in white, but☝ it's nice ur smile :) winner💕💕🌸🌸🌸",0
221,I can tell by the end of the night I'm gonna cut my arm  ,1
222,"Drunk and singing along to bmth, asking alexandria and of mice and men, rip my parents eardrums  ",0
223,Been spoilt even got a Kylie lip kit 😆,0
224,'A #pessimist sees the difficulty in every #opportunity; an #optimist sees the opportunity in every difficulty.' —Winston Churchill #quote,0
225," mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",0
226,Michelle Obama's Feelings of  are a Bellweather for the country: It Tells us We are Moving in the Right Direction!  ,0
227,"no offense to those who love k culture, u can love it all you want bbs!! 💖 but i just personally want to get to know my own country's-",0
228,and now I got tickets to Hamlet #yay #happy #londontheatre,0
229,I want this to be a good day but this monster keeps pushing me down ,1
230,106   ??????????????????????????????????????????????????????????????????????????????????????????????????????????????    ????????????   ???????????????????????????????????????????????????   ??????????????   ??????????????????????????????????????????   ??????.......     ????????????????????,0
231,Watching other NFL teams today emphasizes how pitiful the Eagles are,0
232,I haven't snuggled my little Uigi in SIX days????????,0
233,wtf bro 0 stars in my first attack in war fuck this shit man,0
234,Forgot my cheese cake at work ,1
235,I can now see all of your tweets on one timeline. Makes life a lot easier. Just say hello and I will add you!  ,0
236,ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,1
237,"    ??, ??? ?????? ?????????????.  --- ???????????? ??????? ??????? ???????:) ????????? ????????? ??????? ???????????? ??????? ???????????? pic.twitter.com/GSIrFcABIp",0
238,i feel like i'm a prisoner of my own life.. like as if my life was a jail and i'm doing a lifetime sentence ,1
239,Bus model and industry make huge diff to value - Soft cos cost structure scales diff than Hard co. Need to know when raising #vc #start,0
240,when Martin stole Sonja's pizza on the MG show ep 4????????,0
241, seriously increases the risk both of developing and also dying from heart disease,0
242,I'm so proud of myself for having a productive morning 😥,0
243,Why we loose hope in ourself When people demotivate us...,0
244,Whatever it takes to keep fucking  and bastard  at bay.  Wishing you a bloody happy New Year!  pic.twitter.com/3qWP4Lt25E,0
245,Accept that you are  and it’s not your fault. Telling yourself to ??Pull yourself together’ or ??Snap out of it’ won’t help.,0
246,brains have some of the most tiring dreams. Maybe because they're some of the most vivid?,0
247,What can you say about @rogerfederer #awestruck.....,0
248,It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing,1
249,Being lost in my own mind   ,1
250,Is it even trail mix if pretzels are just left ???£???’ ,0
251,Ke na le problem le  guys... there are way too many of us in the world to have some people find themselves lonely and alone.,1
252,@mrosenbaum711 Happy Birthday 🎈🎊🎁 Have an awesome filled day of awesomeness.,0
253,"If there's one thing I hate, its being ignored. And everybody seems to be doing just that. Ugh.   ",1
254,It's funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?,1
255,Love that character     pic.twitter.com/uRCSKr2or8,0
256,i'd kill myself if it was that easy,1
257,Loneliness isn't about being alone it's not being anybody's priority  is a problem that faces us all reach out and make contact??‘‹??—£,0
258,@Mike_J_Lord You're welcome 😃,0
259,LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented :-( ,0
260,â™?I Don't Love You Anymore - ANOHNI   ,0
261,My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,1
262,who needs an alarm clock when u have an excited puppy jumping on you every morning,0
263,"RT KatelynTiffner:  because I had a dream ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in O...",0
264,being all sweet and nice to a guy then realizing how he never really deserved any of it ??‘�??�½ story of my life ,1
265," by : Bleak melodies & beats, beautiful voice and gloomy verses about today's world. Brilliant! One of the best in 2016.",0
266,I'm kinda glad that I know about 2 to 4 people in all my classes that I can talk to #relieved,0
267,@SpnTentation Thank you! My first solo run!  #excited #andnervous,0
268,happy birthday to anne ! we wish her all the best and hope she's having a wonderful day,0
269,I'm so upset 😭,1
270,Just found out I am only 4 days younger than Shane Meadows - thank god I've achieved as much as he has!  ,0
271,jfc ANOTHER bad morning  I dont even have anything to be depressed about  oh hang on … leaving me to fester under the poverty line for 10 years,1
272,Finally the fuck shit was sending fast ,0
273,Dropping son off this morning then shopping with my girls for shoes wedding fun this afternoon.  Your TL won't explode today.  😀,0
274,So happy I get paid tomorrow so I can sort my bloody hair out before holiday ,0
275,Can't believe I've had 9 days off already and that I'm back to work tomorrow! ,0
276,??’•it will be ok ??’•    pic.twitter.com/di7n1sDxAS,0
277,Happy #NationalFrenchFryDay ! Although I'm not so in the fried thing but I like have a frie once in a while! Have a #beautiful #thursday !❤,0
278,"41 year old woman wth chronic pain,  and  ""I've noticed that I'm not breaking down crying everyday, my mood seems to be more positive and the intense, intrusive thoughts aren't as strong. It's only been 6 micro doses but I feel like I'm seeing some improvement.""  pic.twitter.com/CFTdb6q2ka",1
279,"A year ago we was 38,000ft up in the air, en route to Australia via Dubai.....  pic.twitter.com/FAFcKWtNJ3",0
280,"@Karma_cutie aw, you make me smile, too.😉😘",0
281," - worst day, 13 July, occasion-  final , min-  ..i couldn't eat my food for days..the sleep was gone.  ",0
282,Adam Sandler is actually super hilarious &amp; all his movies are funny &amp; heartwarming,0
283,Hello twitter! My next few tweets are going to be a bit gushy.... Look away if you're feeling bilious!!!,0
284,Nooooo  will crack the 10 point mark in the 4th quarter ,0
285,Living downtown for the first time while #tiff is happening. Schedule is out today! #excitement #thechildrenact #StanleyTucci #EmmaThompson,0
286,I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE   ,1
287,"If you are living with , , don't fall for the so-called ""cure"" peddlers here on Twitter. Seek professional medical help.",0
288, -The moment you realize that they're still making country music.,0
289,People are truly #amazing. #inspiring day,0
290,: this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’” fuck,1
291,Your inner bitch will do all she can to convince you that everything is hopeless and you are beyond . She loves you being  cos she has a captive audience to listen to her negativity. Don't fall for her BS! Nothing is ever as hopeless as she makes out.  pic.twitter.com/dBXeDgF3eR,0
292,"   I do not know anymore who I am in life because of my parents . I don’t know if I still own my life the fact I feel shallow. Why does life always seem to be unfair , to the point u feel nothing.",1
293,You know you chose a good husband when he prepares lunch for you early in the morning 💞 #tears,0
294,"When bad dreams come true, got me feeling like Crapulet ",1
295,"Suffering from serious depression ????  Sucks my plans, times everything ????   ",1
296,Snorkel time #fury key west,0
297,"Quite glad for a spot of rain, and happy it held off until ‘lunch’ so daughter no1 could enjoy circus antics at school this am.",0
298,Hey what s up family I'm having depression for dinner,0
299,Why can't I go Super Saiyan? ,0
300,Wishing you a blessed and happy morning. Glad to be here. Do you🤔 and brighten someone's day in your pursuit of happiness.,0
301,Laughter is an instant vacation\nTake a vacation now\n#vacation #laughter #happy #AlenaNaron #LifeCoach #Positvity,0
302,I'm so in love with that smile of yours🖤.,0
303,I'm not  or . I always grow my toenails out and don't shave. Duh.,0
304,the  people are the  ones..,0
305,In the gym trying to clear my mind. ,0
306,"Depression.....SUCKS!!! I would NEVER wish this on anyone, it just.....sucks. Tired of it controlling my life, I really am?????????? ",1
307,So over new years think I'm just going to sleep into the new year.  ,0
308,What do we expect from a system where health care and education are among the most profitable commercial businesses?!,0
309,And literally 30 or more things that was the reason to live and how to not be  but wasn't really AT ALL. A++ for intent tho.,1
310,"Dont sink to the level of those who insult you. Rather, rise to the level of those who inspire you. Deliver result, not insult",0
311,A lot of people but they don't know me well.,1
312,@KerryKatona7 Stunner cute like her mum 😃,0
313,"So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday.   ",1
314,IN The heart of every Human being there's is a sense of  which cannot be put out expect by being close to Allah,0
315,"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine. ",1
316,I went to church with my mom and a huge chunk of the sermon was basically “if you’re  it’s because your faith is weak” and ... this is why I don’t go to church or tell my mom I’m on antidepressants ???????,1
317,You can't stay mad at someone who makes you smile.,0
318,Let me just sit here and wallow in self pity ,1
319,Timmy said I changed  I'm depressed eboy now,0
320,11:05 on a Saturday and im home alone watching Eragon.  ,0
321,Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am.,0
322,"Feeling okish one minute then ?? for no reason what's so ever. Psychiatrist was right chronic depression gives no warnings, mood just dips when it feels like it.  Top it off anxiety is at a high too.  ",1
323,It's my time to shine 😅,0
324,I’m watching my show and its still not keeping my  depression and anxiety at bay. This stress is crushing me :(,1
325,I guess it's because I'm not feeling well that I feel so low.  Throat is starting to flare and I can't cope with it right now.,1
326,yeah I watch depressing films like cyberbully because I'm sad and I can connect with it  ,1
327,Tripped hard today! This is promising!   ,1
328,Dear Life: Please be gently to me.,1
329,How would you feel if your parents were to argue each and every single day?  ,1
330,So just been looking at profiles of my other half's family accounts on Twitter and i'm extremely depressed that my life is full of ChronicPain. I'm not living a normal fulfilled life like they are. Why is it taking over my existence..?,1
331,Top Musique 2016 :  N2 :    pic.twitter.com/wRsdJ4Av6z,0
332,#funny #quote #joke Hilarious joke quote of the day! For more funny jokes pics and great humor quote,0
333,"People: ""Just exercise, you'll feel better."" Full depressed me: ""k"" *bikes 20 miles* *showers* *curls into a ball and weeps* ",1
334,Three more shifts then I start the next part of my tutorship in response #enjoyingthelastfewdays #excited #nervous #newchallanges,0
335,Being able to sleep in just boxers is probably one of the best pros that comes with being a guy #breezy,0
336,I hella should've stayed natural in college,0
337,"Live a normal life and have friends and go out and have fun, believe me. But my    etc all stop that. Not by choice???¢",1
338,See a TrueTwit\nwho's smiling so brightly.\nWell we reckon we're cool\nand we reckon rightly!!,0
339,Disturbing to see that  is trending. Heaven send the personal sponsors & BFFs to save the dreary day.,0
340,I am finally feeling better. It's good to support each other when going thru things like . We all  each other out. ,0
341,I've never dream to love him,0
342,"They say life's short, but I'm bored already.   ",1
343,900 mAh Laconic Style Vape Kit  pic.twitter.com/WDCJREnfhw,0
344,Only the insecure withhold praise of another's achievements     ,1
345,Pray for all communities and individuals facing mental health crises.  ,0
346,"Christmas, the most wonderful time of the year can also be the most horrific time of the year.   ",0
347,"I was deeply struck with her very presence,expressions &amp; soul-penetrating performance.I was lost in her #bliss #NinnuKori  @i_nivethathomas",0
348,@CaxtonSupport I'm sorry but I don't know what DM stands for. I know a PM 😂. But sadly not a DM. It won't create an account to find.,0
349,Last time hanging with silken and dorian before they move to Florida,0
350,#alarm Bel OC Limburg 157901 - Unknown address,0
