,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
1829,1.16E+18,1.16E+18,8/17/2019,thiccwaifu_uwu,My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so what’s the point of going?,"['#depression', '#anxietydisorder']",My mom said she was going to take me to the hospital so I started freaking out. Threw up on the living room floor.  Not much the hospital can do for me so what’s the point of going? #depression #anxietydisorder,1
1833,1.16E+18,1.16E+18,8/17/2019,pepsffk,"With my  I find there is often a unattached feeling of despair that attaches itself to moments, the more fitting a moment the more it expands. People then think it's the sad moment that's the issue, but even without that, the depression is still there.",['#depression'],"With my #depression I find there is often a unattached feeling of despair that attaches itself to moments, the more fitting a moment the more it expands. People then think it's the sad moment that's the issue, but even without that, the depression is still there.",1
1836,1.16E+18,1.16E+18,8/17/2019,_tmahmud,"Suffering from serious depression ????  Sucks my plans, times everything ????   ","['#unknown', '#reason', '#depression']","Suffering from serious depression ????  Sucks my plans, times everything ???? #unknown #reason #depression ",1
1842,1.16E+18,1.16E+18,8/17/2019,_vanillacoffee_,I don't know but today is such a bad day. So much is floating around in my head and I don't wanna do anything. Just wanna lay in bed and cry over how useless and worthless I am. I hate my,['#depression'],I don't know but today is such a bad day. So much is floating around in my head and I don't wanna do anything. Just wanna lay in bed and cry over how useless and worthless I am. I hate my #depression,1
1853,1.16E+18,1.16E+18,8/17/2019,aliceanneprice1,"Waiting for my ins. to kick in so I can get treated for depression. Until then, for a mere 50 cents I can feed these turtles. They make shit therapists though. They keep telling me to drown myself in their pond so I can become one of them. It’s not bad they say ???????????.   pic.twitter.com/0QJRWUgAPH – at McGough Nature Park",['#depression'],"Waiting for my ins. to kick in so I can get treated for depression. Until then, for a mere 50 cents I can feed these turtles. They make shit therapists though. They keep telling me to drown myself in their pond so I can become one of them. It’s not bad they say ???????????. #depression  pic.twitter.com/0QJRWUgAPH – at McGough Nature Park",1
1882,1.16E+18,1.16E+18,8/17/2019,ss_final,Exercise is a powerful tool for dealing with,['#depression'],Exercise is a powerful tool for dealing with #depression,0
1905,1.16E+18,1.16E+18,8/17/2019,paboadulting,Adulting day  (1) - (thread)  Major depressive episode hit last night...   pic.twitter.com/v5XIiYG8aS,"['#depression', '#depressionisreal']",Adulting day #1772 (1) - (thread)  Major depressive episode hit last night... #depression #DepressionIsReal pic.twitter.com/v5XIiYG8aS,0
1927,1.16E+18,1.13E+18,8/17/2019,git_gamer,"""AUTISM AND DEPRESSION""  ... I hate it when I get the feels... If you suffer from autism, you'll probably get this image...     pic.twitter.com/rz3zmMaK9a","['#autism', '#depression']","""AUTISM AND DEPRESSION""  ... I hate it when I get the feels... If you suffer from autism, you'll probably get this image...  #autism #depression  pic.twitter.com/rz3zmMaK9a",1
1929,1.16E+18,1.16E+18,8/17/2019,socalmama12,"I have never experienced more of an emotional rollercoaster like I did with my  and  than I did yesterday. Not since I was at least 19. The guilt I feel today for how I treated my child is immense. These disorders are no joke. I'm sorry and I love you, Bug.","['#anxiety', '#depression']","I have never experienced more of an emotional rollercoaster like I did with my #anxiety and #depression than I did yesterday. Not since I was at least 19. The guilt I feel today for how I treated my child is immense. These disorders are no joke. I'm sorry and I love you, Bug.",1
1945,1.16E+18,1.16E+18,8/17/2019,akainpsyte,"We would like to have a conversation on Twitter with an athletic trainer, about the effects seen on  and  when a person with these issues has begun training. We know you're out there! Share your experience and let us amplify it for others!","['#depression', '#anxiety']","We would like to have a conversation on Twitter with an athletic trainer, about the effects seen on #depression and #anxiety when a person with these issues has begun training. We know you're out there! Share your experience and let us amplify it for others!",0
1948,1.16E+18,1.16E+18,8/17/2019,assistedcooking,"Quote: “ ,  and  are caused when we are living to please others.” Paulo Coelho  pic.twitter.com/Cy8zun5IFm","['#stress', '#anxiety', '#depression']","Quote: “ #Stress, #anxiety and #depression are caused when we are living to please others.” Paulo Coelho  pic.twitter.com/Cy8zun5IFm",0
1954,1.16E+18,1.16E+18,8/17/2019,sadaloneempty,And I can’t do anything about it ????   pic.twitter.com/xviBD0HpaE,['#depression'],And I can’t do anything about it ???? #depression  pic.twitter.com/xviBD0HpaE,1
2029,1.16E+18,1.16E+18,8/18/2019,meh__sh,"""I used to think that the worst thing in life was to end up alone. It's not. The worst thing in life is to end up with people who make you feel alone"".   ","['#robinwilliams', '#loneliness']","""I used to think that the worst thing in life was to end up alone. It's not. The worst thing in life is to end up with people who make you feel alone"".  #RobinWilliams #loneliness",0
2040,1.16E+18,1.16E+18,8/18/2019,iamirfansaifi,You try hard to forget the person whom you loved more than yourself.    pic.twitter.com/SzLSq8MsNQ,"['#loneliness', '#brokenheart']",You try hard to forget the person whom you loved more than yourself.  #loneliness #brokenheart pic.twitter.com/SzLSq8MsNQ,0
2049,1.16E+18,1.16E+18,8/17/2019,anisahvasta,"sometimes loneliness is more than just being alone in life. it's the idea of doubt, loss and emptiness. it can be having a family but yet noone to talk to about your problems.     ","['#loneliness', '#selfcare', '#mood']","sometimes loneliness is more than just being alone in life. it's the idea of doubt, loss and emptiness. it can be having a family but yet noone to talk to about your problems.   #loneliness #selfcare #mood",0
2054,1.16E+18,1.16E+18,8/17/2019,ondrejartist,"What I don't know is how to fight the . Lonely at work, lonely at home. Me, my thoughts and silence. You can build a very awful depression on it, doubt it that one can build a positive and happy person from a shit like that. But one can always try, I'll. Advise welcome",['#loneliness'],"What I don't know is how to fight the #loneliness. Lonely at work, lonely at home. Me, my thoughts and silence. You can build a very awful depression on it, doubt it that one can build a positive and happy person from a shit like that. But one can always try, I'll. Advise welcome",1
2059,1.16E+18,1.16E+18,8/17/2019,thenightman19,"THIS IS  TRYING TO  ME DOWN...DEPRIVING ME OF MY PEACE AND MY SLEEP. THE MISCHIEVOUS ELF REPRESENTS THE REMINDER OF MY , THE DISCOMFORT THE BOY IS EXPERIENCING REPRESENTS HOW MY PAIN IS CONSTANT AND SHARP...I DON'T EXIST TO ANYONE ON TWITTER OR ANYWHERE.????  pic.twitter.com/IrVVVMNkMO","['#reality', '#drag', '#loneliness']","THIS IS #REALITY TRYING TO #DRAG ME DOWN...DEPRIVING ME OF MY PEACE AND MY SLEEP. THE MISCHIEVOUS ELF REPRESENTS THE REMINDER OF MY #LONELINESS, THE DISCOMFORT THE BOY IS EXPERIENCING REPRESENTS HOW MY PAIN IS CONSTANT AND SHARP...I DON'T EXIST TO ANYONE ON TWITTER OR ANYWHERE.????  pic.twitter.com/IrVVVMNkMO",1
2075,1.16E+18,1.16E+18,8/17/2019,drvandeusen,If medical doctors could be trained to assess loneliness and have more places to refer their lonely patients to (other than the pharmacy for their anti-depressant) we may be able to calm the tsunami of loneliness in our country.   pic.twitter.com/sIePoRLeRV,['#loneliness'],If medical doctors could be trained to assess loneliness and have more places to refer their lonely patients to (other than the pharmacy for their anti-depressant) we may be able to calm the tsunami of loneliness in our country. #loneliness  pic.twitter.com/sIePoRLeRV,0
2079,1.16E+18,1.16E+18,8/17/2019,savemoneylah,"Nowadays, people are feeling lonelier because the quality of friendships and relationships are perceived to be of lower quality than in the past. ",['#loneliness'],"Nowadays, people are feeling lonelier because the quality of friendships and relationships are perceived to be of lower quality than in the past. #loneliness",0
2082,1.16E+18,1.16E+18,8/17/2019,_deathscout,//My TL dies in the afternoons.  I've followed about six gazillion people and still get about three tweets an hour.,['#loneliness'],//My TL dies in the afternoons.  I've followed about six gazillion people and still get about three tweets an hour.  #Loneliness,0
2089,1.16E+18,1.16E+18,8/17/2019,solmuteoriaa,"Sucks that the only place I can go to if I can’t handle , is the one I don’t feel safe in.   And the only person I can _try_ to ask help if I need it, is the one I don’t trust.",['#loneliness'],"Sucks that the only place I can go to if I can’t handle #loneliness, is the one I don’t feel safe in.   And the only person I can _try_ to ask help if I need it, is the one I don’t trust.",1
2105,1.16E+18,1.16E+18,8/17/2019,harleytherapy,"Both addictive romantic relationships and toxic friendships leave us lonely. When we are always engaged in power struggles, there is no chance for real connection.   ","['#loneliness', '#psychology', '#choosetherapy']","Both addictive romantic relationships and toxic friendships leave us lonely. When we are always engaged in power struggles, there is no chance for real connection. #loneliness #psychology #choosetherapy",0
2119,1.16E+18,1.16E+18,8/17/2019,bightserenity,I don't want to be alone right now. Please the one man who can help me deal with this. Don't make me go through this alone. I'm already so broken.,"['#lost', '#loneliness', '#sad']",I don't want to be alone right now. Please the one man who can help me deal with this. Don't make me go through this alone. I'm already so broken. #LOST #loneliness #sad,1
2132,1.16E+18,1.16E+18,8/17/2019,leaaclarisse,hate being alone man. alone in life alone in my head it just sucks,['#loneliness'],hate being alone man. alone in life alone in my head it just sucks #loneliness,1
2169,1.16E+18,1.16E+18,8/16/2019,nujcharee,Using  Key Influencer with prediction of  dataset explained by NOMIS lone parent dataset   pic.twitter.com/bkxdfCUsib,"['#powerbi', '#loneliness', '#data4socialgood']",Using #powerbi Key Influencer with prediction of #loneliness dataset explained by NOMIS lone parent dataset  #data4socialgood pic.twitter.com/bkxdfCUsib,0
2172,1.16E+18,1.16E+18,8/16/2019,thebaldvegan,"don't tell me to cheer up; w/no friends (i want to see), no gf, no pets, i'm prob more  than u are  ","['#alone', '#loneliness', '#antinatalism']","don't tell me to cheer up; w/no friends (i want to see), no gf, no pets, i'm prob more #alone than u are #loneliness #antinatalism",1
2178,1.16E+18,1.16E+18,8/16/2019,thebaldvegan,"i'm just a lil boat in the middle of the ocean: lost, alone, & always getting battered by forces beyond my control  ","['#antinatalism', '#loneliness']","i'm just a lil boat in the middle of the ocean: lost, alone, & always getting battered by forces beyond my control #antinatalism #loneliness",1
2191,1.16E+18,1.16E+18,8/16/2019,accardiff," 17% of older people are in contact with family, friends and neighbours less than once a week and 11% are in contact less than once a month.   pic.twitter.com/RoNJVWr7m4","['#fridayfact', '#loneliness']","#fridayfact 17% of older people are in contact with family, friends and neighbours less than once a week and 11% are in contact less than once a month. #loneliness  pic.twitter.com/RoNJVWr7m4",0
2209,1.16E+18,1.16E+18,8/16/2019,agnesofaurora,When you’re so unbearably lonely that you want to die.,"['#depression', '#loneliness']",When you’re so unbearably lonely that you want to die. #depression #loneliness,1
2219,1.16E+18,1.16E+18,8/16/2019,melly91370774,"Human beings are designed for many things, but loneliness isn't one of them.??    ???????????????? pic.twitter.com/dcEHDhFTOx","['#love', '#loneliness', '#humanity']","Human beings are designed for many things, but loneliness isn't one of them.?? #love #loneliness #Humanity ???????????????? pic.twitter.com/dcEHDhFTOx",0
2245,1.16E+18,1.16E+18,8/15/2019,dr_wims,"Loneliness can feed depression, and depression can trigger loneliness. The important thing to remember about this cycle is that small steps can help us change. Therapy can help you identify those steps.    pic.twitter.com/T98xRnnlCQ","['#onlinetherapy', '#loneliness', '#depression']","Loneliness can feed depression, and depression can trigger loneliness. The important thing to remember about this cycle is that small steps can help us change. Therapy can help you identify those steps. #onlinetherapy #loneliness #depression pic.twitter.com/T98xRnnlCQ",0
2250,1.16E+18,1.16E+18,8/15/2019,julietchettri9,I feel I shud not b here   pic.twitter.com/U4K4guKRus,"['#loneliness', '#badday']",I feel I shud not b here #loneliness #badday pic.twitter.com/U4K4guKRus,1
2303,1.16E+18,1.16E+18,8/15/2019,thelonelycafe,2 days to our meetup..,"['#loneliness', '#supportgroup', '#meetup']",2 days to our meetup.. #loneliness #supportgroup #meetup,0
2306,1.16E+18,1.16E+18,8/15/2019,tootcomkitchen,"Despite the weather we are having, we shall be at the stall with hot food and drinks on Saturday. Come and say hello to the team   ","['#food', '#foodbank', '#loneliness']","Despite the weather we are having, we shall be at the stall with hot food and drinks on Saturday. Come and say hello to the team #food #foodbank #loneliness",0
2319,1.16E+18,1.16E+18,8/15/2019,divacruz8,In times like this is when I wonder how it will be like to just be by myself????,['#loneliness'],In times like this is when I wonder how it will be like to just be by myself???? #loneliness,1
2326,1.16E+18,1.16E+18,8/15/2019,notioninspired,"Loneliness frazzles the body, mind and soul.  Sounds muted outside of, the sound of silence...deafening.  ",['#loneliness'],"Loneliness frazzles the body, mind and soul.  Sounds muted outside of, the sound of silence...deafening.  #loneliness",0
2349,1.16E+18,1.16E+18,8/14/2019,sydansuru,My biggest wish is to one day have a true friend. To be accepted the way I am.,"['#friendship', '#loneliness', '#acceptance']",My biggest wish is to one day have a true friend. To be accepted the way I am.  #friendship #loneliness #acceptance,1
2413,1.16E+18,1.16E+18,8/14/2019,stilldiscoveri1,"My dark side is also part of me. Trying to tolerate my irritation. Guess I need some , but how without feeling guilty in children holiday season   ","['#metime', '#acceptance', '#loneliness']","My dark side is also part of me. Trying to tolerate my irritation. Guess I need some #metime, but how without feeling guilty in children holiday season  #acceptance #loneliness",1
2450,1.16E+18,1.16E+18,8/14/2019,thelonelycafe,3 days left until our first meetup..,"['#supportgroup', '#meetup', '#loneliness']",3 days left until our first meetup.. #supportgroup #meetup #loneliness,0
2465,1.16E+18,1.16E+18,8/13/2019,erickisabae1,"My phone is now strictly for music, memes, twitter, and YouTube bcx nobody calls or texts me???? ",['#loneliness'],"My phone is now strictly for music, memes, twitter, and YouTube bcx nobody calls or texts me???? #loneliness",1
2472,1.16E+18,1.16E+18,8/13/2019,radiochelmsford,Now playing  -  on Total Dance,"['#tomcraft', '#loneliness']",Now playing #Tomcraft - #Loneliness on Total Dance,0
2475,1.16E+18,1.16E+18,8/13/2019,jjho8,"In Quebec City, family went to a chocolate store, and spent way to long in there. I wanted to leave because the girl behind the cash register was so damn beautiful. The longer I spent in there the more painful it was.  ","['#lonely', '#loneliness']","In Quebec City, family went to a chocolate store, and spent way to long in there. I wanted to leave because the girl behind the cash register was so damn beautiful. The longer I spent in there the more painful it was. #lonely #loneliness",0
2494,1.16E+18,1.16E+18,8/13/2019,mccalloughnalon,Feeling kind of blue today. A good acquaintance from long back has not answered messages on any of their media platforms in a while...What happened to them? ????    pic.twitter.com/lWtx4Ucqy8,"['#sad', '#loneliness', '#confusion']",Feeling kind of blue today. A good acquaintance from long back has not answered messages on any of their media platforms in a while...What happened to them? ???? #sad #loneliness #confusion pic.twitter.com/lWtx4Ucqy8,1
2498,1.16E+18,1.16E+18,8/13/2019,hdjhonie,I Barely Tweet???? I Have No Followers????,"['#loneliness', '#lol', '#me']",I Barely Tweet???? I Have No Followers???? #loneliness #lol #me,0
2506,1.16E+18,1.16E+18,8/13/2019,capuk,Loneliness is probably one of the worst feelings there is. That’s why community is such a high priority for us here at Christians Against Poverty. We want our clients to know that they’re not alone - we are on their side.,"['#youmatter', '#loneliness']",Loneliness is probably one of the worst feelings there is. That’s why community is such a high priority for us here at Christians Against Poverty. We want our clients to know that they’re not alone - we are on their side. #YouMatter #Loneliness,0
2514,1.16E+18,1.16E+18,8/13/2019,drmarinzh,"Not being lonely involves so much more than just being in the company of others: a sense of community, a tribe, common values, goals, shared rituals, shared risks, the warm feeling that you are surrounded 24/7 by people who will risk their lives for you.   ",['#loneliness'],"Not being lonely involves so much more than just being in the company of others: a sense of community, a tribe, common values, goals, shared rituals, shared risks, the warm feeling that you are surrounded 24/7 by people who will risk their lives for you.   #loneliness",0
2516,1.16E+18,1.16E+18,8/13/2019,drmarinzh,We are drowning in company but dying for companionship.,"['#loneliness', '#lonelinessepidemic']",We are drowning in company but dying for companionship.  #loneliness #lonelinessepidemic,0
2529,1.16E+18,1.16E+18,8/13/2019,yim161,living the moment  losing focus,"['#mindfulness', '#thoughtoftheday', '#loneliness']",living the moment  losing focus   #mindfulness #ThoughtOfTheDay #loneliness,0
2554,1.16E+18,1.16E+18,8/13/2019,jaydusold,"Next to death, being alone in life is the most feared experience for any human being, regardless of their generational label.  ","['#loneliness', '#connectedbutalone']","Next to death, being alone in life is the most feared experience for any human being, regardless of their generational label. #loneliness #connectedbutalone",1
2561,1.16E+18,1.16E+18,8/13/2019,chrisdancy,Can we stop complaining about  until we recognize that we have institutionalized self-sufficiency and pathologized human interaction?  pic.twitter.com/sCFjoC5yOw,['#loneliness'],Can we stop complaining about #loneliness until we recognize that we have institutionalized self-sufficiency and pathologized human interaction?  pic.twitter.com/sCFjoC5yOw,0
2562,1.16E+18,1.16E+18,8/13/2019,seniorworksin,Breakdown of  systems due to economic opportunities has increased  among  pic.twitter.com/MyLVE432ow,"['#jointfamily', '#loneliness', '#seniorszn']",Breakdown of #jointfamily systems due to economic opportunities has increased #loneliness among #seniorszn pic.twitter.com/MyLVE432ow,0
2567,1.16E+18,1.16E+18,8/13/2019,peteruiodogwu,"With ageing populations at risk of  and  (and depression's myriad health effects so higher healthcare costs), as well as rising childcare costs, approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com/QouBTSRhR6","['#loneliness', '#depression']","With ageing populations at risk of #loneliness and #depression (and depression's myriad health effects so higher healthcare costs), as well as rising childcare costs, approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com/QouBTSRhR6",0
2568,1.16E+18,1.16E+18,8/13/2019,amyirvin16,Fellow  : How do you deal with  ?,"['#introvert', '#loneliness']",Fellow #introvert : How do you deal with #loneliness ?,0
2577,1.16E+18,1.16E+18,8/13/2019,kynton_swingle,Supporting the most vulnerable members of our community who are at risk of  and   pic.twitter.com/4vNqE9Ss0P,"['#socialisolation', '#loneliness']",Supporting the most vulnerable members of our community who are at risk of #socialisolation and #loneliness  pic.twitter.com/4vNqE9Ss0P,0
2584,1.16E+18,1.16E+18,8/13/2019,imjanebanaag21,Not everyone wants to see me happy ????,['#loneliness'],Not everyone wants to see me happy ???? #loneliness,1
2604,1.16E+18,1.16E+18,8/12/2019,sophieh28854433," Working on Pill for ... Making something for the millennials, eh? Who can stand the little smug self-satisfied snots!","['#researchers', '#loneliness']","#Researchers Working on Pill for #Loneliness... Making something for the millennials, eh? Who can stand the little smug self-satisfied snots!",0
2613,1.16E+18,1.16E+18,8/12/2019,omar85921684,if anybody wants to talk im here,"['#lonely', '#loneliness', '#imsolonely']",#lonely #loneliness #imsolonely if anybody wants to talk im here,0
2621,1.16E+18,1.16E+18,8/12/2019,bobos_hb,Why it's simple to just stop texting,"['#loneliness', '#friends', '#text']",Why it's simple to just stop texting #loneliness #friends #Text,1
2633,1.16E+18,1.16E+18,8/12/2019,lilreddude2,The real question is: why isn't he worth the investment as a long-term romantic partner?,"['#depression', '#anxiety', '#loneliness']",The real question is: why isn't he worth the investment as a long-term romantic partner? #depression #anxiety #loneliness,0
2652,1.16E+18,1.16E+18,8/12/2019,connect2_,Look what's arrived :) 'Connect to' badges for all our lovely  Join us in ending   Contact charlotte@dva.org.uk to find out more:) pic.twitter.com/94Ov7UvENe,"['#socialconnectors', '#loneliness', '#isolation']",Look what's arrived :) 'Connect to' badges for all our lovely #socialconnectors Join us in ending #loneliness #isolation Contact charlotte@dva.org.uk to find out more:) pic.twitter.com/94Ov7UvENe,0
2654,1.16E+18,1.16E+18,8/12/2019,phhospice,"Loneliness is quite common in the elderly. Isolation and inactivity may harm a loved one’s mental, physical, and emotional health. Visit them and bring them to social events such as family gatherings.      pic.twitter.com/lq9et0AsHq","['#passionatehearthospice', '#loneliness']","Loneliness is quite common in the elderly. Isolation and inactivity may harm a loved one’s mental, physical, and emotional health. Visit them and bring them to social events such as family gatherings.   #PassionateHeartHospice #Loneliness  pic.twitter.com/lq9et0AsHq",0
2664,1.16E+18,1.16E+18,8/12/2019,teensingularity,Big Dog doesn't understand me.,"['#creativity', '#loneliness']",Big Dog doesn't understand me. #creativity #loneliness,0
2665,1.16E+18,1.16E+18,8/12/2019,anil9amaresh,is my least favorite thing about life....  pic.twitter.com/JZoErLIrgZ,['#loneliness'],#Loneliness is my least favorite thing about life....  pic.twitter.com/JZoErLIrgZ,1
2672,1.16E+18,1.16E+18,8/12/2019,toon_camerado,"Something I'm trying to do now - but not succeeding. Thinking of totally abandoning all my plans for Kindness Collective, Camerados, Friendly Bench etc and retreating back into my flat and never getting involved with anything again.    pic.twitter.com/OeYiaUa0WG","['#abandoned', '#loneliness', '#friendless']","Something I'm trying to do now - but not succeeding. Thinking of totally abandoning all my plans for Kindness Collective, Camerados, Friendly Bench etc and retreating back into my flat and never getting involved with anything again. #Abandoned #Loneliness #Friendless pic.twitter.com/OeYiaUa0WG",1
2677,1.16E+18,1.16E+18,8/12/2019,masterbates223,You haven't experienced  until you've reached the last cage in the frozen chamber of a 40ft trailer.,['#loneliness'],You haven't experienced #loneliness until you've reached the last cage in the frozen chamber of a 40ft trailer.,0
2681,1.16E+18,1.16E+18,8/12/2019,euclidlibrary,Winter and holidays can be challenging seasons for older adults--especially for those living alone.  Come to EPL September 5 at 6:00 PM to learn ways to deal with . Our special guest will be Cris Hughes from AARP.  pic.twitter.com/rh0S4FhIm9,"['#loneliness', '#oureuclid']",Winter and holidays can be challenging seasons for older adults--especially for those living alone.  Come to EPL September 5 at 6:00 PM to learn ways to deal with #loneliness. Our special guest will be Cris Hughes from AARP. #OurEuclid pic.twitter.com/rh0S4FhIm9,0
2718,1.16E+18,1.16E+18,8/11/2019,a__lotte,Loneliness is as bad for your health as 15 cigarettes a day. Let that sink in,"['#sadgirlsclub', '#loneliness']",Loneliness is as bad for your health as 15 cigarettes a day. Let that sink in #sadgirlsclub #loneliness,0
2726,1.16E+18,1.16E+18,8/11/2019,marieruette,Music is my refuge. I can crawl into the space between the notes and curl my back to loneliness.      pic.twitter.com/an8NoNTB6r,"['#quote', '#music', '#loneliness']",Music is my refuge. I can crawl into the space between the notes and curl my back to loneliness.  #quote #music #loneliness  pic.twitter.com/an8NoNTB6r,1
2751,1.16E+18,1.16E+18,8/11/2019,cortherapist,It’s NORMAL to feel lonely when you don’t have a partner and you want one.  is an emotion that signals that a need is not being met. It’s not something you get over by thinking it away or by making more friends.,"['#loneliness', '#emotion', '#attachment']",It’s NORMAL to feel lonely when you don’t have a partner and you want one. #Loneliness is an emotion that signals that a need is not being met. It’s not something you get over by thinking it away or by making more friends. #emotion #attachment,0
2754,1.16E+18,1.16E+18,8/11/2019,mpholifant,Ke na le problem le  guys... there are way too many of us in the world to have some people find themselves lonely and alone.,['#loneliness'],Ke na le problem le #loneliness guys... there are way too many of us in the world to have some people find themselves lonely and alone.,1
2760,1.16E+18,1.16E+18,8/11/2019,pyjamha,Any NA gamers out there? I’ve got no friends here...,"['#loneliness', '#fortnitepartner']",Any NA gamers out there? I’ve got no friends here... #loneliness #fortnitepartner,0
2779,1.16E+18,1.16E+18,8/11/2019,allisoncgiles,"Just realized the last time I was someone’s type, I was donating blood... ",['#loneliness'],"Just realized the last time I was someone’s type, I was donating blood... #loneliness",0
2782,1.16E+18,1.16E+18,8/11/2019,taiyajai,I always complain about being bored and having no one to hangout with but as soon as someone asks I say no because I’ve accepted the fact that I love my bed too much to leave it,['#loneliness'],I always complain about being bored and having no one to hangout with but as soon as someone asks I say no because I’ve accepted the fact that I love my bed too much to leave it #loneliness,1
