,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
507,6.81221E+17,6.81221E+17,12/27/2015,tou_sone_afc,"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! ",['#depressed'],"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! #depressed",0
508,6.8122E+17,6.8122E+17,12/27/2015,connaman,Watching other NFL teams today emphasizes how pitiful the Eagles are,['#depressed'],Watching other NFL teams today emphasizes how pitiful the Eagles are #depressed,0
511,6.81218E+17,6.81218E+17,12/27/2015,thinkingbjones,This ruined my whole Sunday!,"['#panthers', '#depressed', '#beerme']",This ruined my whole Sunday! #panthers #depressed #beerme,0
512,6.81217E+17,6.81217E+17,12/27/2015,michaelwbuckley,Went to see The Big Short.,['#depressed'],Went to see The Big Short. #depressed,0
521,6.81196E+17,6.81196E+17,12/27/2015,careyhamel9,"I reaaaallly don't want to go to work tomorrow,  five days off isn't enough, but come Wednesday four more. Can't wait. Love it!",['#depressed'],"I reaaaallly don't want to go to work tomorrow, #depressed five days off isn't enough, but come Wednesday four more. Can't wait. Love it!",0
523,6.81192E+17,6.81192E+17,12/27/2015,mariallew87,"I don't give two shits anymore about anyone who cba with me, your like the cancer that is killing my nan so Fuck you ",['#depressed'],"I don't give two shits anymore about anyone who cba with me, your like the cancer that is killing my nan so Fuck you #depressed",1
528,6.81175E+17,6.81175E+17,12/27/2015,retcorr,"What do u mean ur , when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!",['#depressed'],"What do u mean ur #depressed, when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!",0
531,6.81173E+17,6.81173E+17,12/27/2015,cranktheac,I can't even think about football let alone watch it this afternoon,['#depressed'],I can't even think about football let alone watch it this afternoon #Depressed,1
535,6.81166E+17,6.81166E+17,12/27/2015,jvug,Anybody wanna switch places with me and go back to Hawaii tomorrow?!,"['#depressed', '#lifesnotfair', '#neveragain']",Anybody wanna switch places with me and go back to Hawaii tomorrow?! #depressed #lifesnotfair #neveragain,0
539,6.81158E+17,6.81158E+17,12/27/2015,leslieb1514,Truth is.... I loved you so much. And you broke my heart.,"['#depressed', '#teenagelove', '#firstlove']",Truth is.... I loved you so much. And you broke my heart. #depressed #teenagelove #firstlove,1
540,6.81155E+17,6.81155E+17,12/27/2015,yingsongying764,We're just sad teens with a happy face,['#depressed'],We're just sad teens with a happy face #depressed,1
542,6.81146E+17,6.81146E+17,12/27/2015,narashi_18,Feeling so UnLucky in life..   ??,"['#depressed', '#nightwarmbodies']",Feeling so UnLucky in life.. #Depressed #NightWarmBodies ??,1
546,6.81134E+17,6.81134E+17,12/27/2015,kissa_93,I haven't snuggled my little Uigi in SIX days????????,['#depressed'],I haven't snuggled my little Uigi in SIX days???????? #Depressed,0
551,6.81115E+17,6.81115E+17,12/27/2015,nwayza_,That dismissal has me looking for a strong drink :(,['#depressed'],That dismissal has me looking for a strong drink :( #depressed,1
556,6.81096E+17,6.81096E+17,12/27/2015,damnshecluelexx,"Making me so happy that I forget to be  ,   and   . Thank you, baby ????","['#lonely', '#depressed', '#insecure']","Making me so happy that I forget to be #lonely , #depressed  and #insecure  . Thank you, baby ????",1
557,6.81089E+17,6.81089E+17,12/27/2015,vicvinegarr_,"how much attention does a kid need that he tags  and  on his instagram post, man up lil bih","['#depression', '#depressed']","how much attention does a kid need that he tags #depression and #depressed on his instagram post, man up lil bih",1
558,6.81082E+17,6.81082E+17,12/27/2015,amalreo,I've finished a whole jar of nutella in the past hour,['#depressed'],I've finished a whole jar of nutella in the past hour #depressed,0
561,6.81067E+17,6.81067E+17,12/27/2015,jaqparker84,xmas is over and apart from my kids happy faces its all been a bit meh this year.,"['#depressed', '#bustyourarseandbankaccountforwhat']",#depressed xmas is over and apart from my kids happy faces its all been a bit meh this year. #bustyourarseandbankaccountforwhat,1
563,6.81063E+17,6.81063E+17,12/27/2015,meh_ri_mah,people: Dream 3 times more than -depressed people.,"['#depressed', '#non']",#Depressed people: Dream 3 times more than #non-depressed people.,0
567,6.81032E+17,6.81032E+17,12/27/2015,angel_is_dead,I am annoying…I tried text my friend…she said she was dealing with something…*sigh*…I just need someone talk to…,"['#depressed', '#crying']",I am annoying…I tried text my friend…she said she was dealing with something…*sigh*…I just need someone talk to… #depressed #crying,1
569,6.81026E+17,6.81026E+17,12/27/2015,vzdian,@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions!,"['#sad', '#depressed', '#pleasehelp']",@spreecoza Wish Spree could stock up on more shoes in the bigger size range! Always miss the promotions! #sad #depressed #pleasehelp,0
575,6.81009E+17,6.81009E+17,12/27/2015,sadanduglyteen,"it sucks when you fall hard for someone, and then they just leave you like it was nothing. ",['#depressed'],"it sucks when you fall hard for someone, and then they just leave you like it was nothing. #depressed",1
578,6.8099E+17,6.8099E+17,12/27/2015,mbehm90,I just feelso defeated by life at the moment,['#depressed'],I just feelso defeated by life at the moment #Depressed,1
579,6.80988E+17,6.80988E+17,12/27/2015,kid_cuda90,I think I have hit rock bottom as a  fan.... ????,"['#suns', '#depressed', '#onlycangoupfromhere']",I think I have hit rock bottom as a #Suns fan.... ???? #Depressed #OnlyCanGoUpFromHere,0
580,6.80985E+17,6.80985E+17,12/27/2015,mommy__to__be__,In my feelings tonite .    # tired,"['#sad', '#depressed']",In my feelings tonite .  #sad #depressed # tired,1
581,6.80983E+17,6.80983E+17,12/27/2015,pastor_paul,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask,"['#depressed', '#lonely']",Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask #depressed #lonely,0
582,6.80983E+17,6.80983E+17,12/27/2015,mrzm0nai,"I don't want,to be bother such a screw up ",['#depressed'],"I don't want,to be bother such a screw up #depressed",1
583,6.80982E+17,6.80982E+17,12/27/2015,nightlock94,I just don't want to participate anymore.,['#depressed'],I just don't want to participate anymore. #depressed,1
584,6.80978E+17,6.80978E+17,12/27/2015,haleyjean4,Me and Cj just broke up,['#depressed'],Me and Cj just broke up #depressed,1
585,6.80975E+17,6.80975E+17,12/27/2015,petepasco,Being an  fan is why this nation NEEDS tougher gun laws,"['#nygiants', '#depressed', '#nygvsmin']",Being an #NYGiants fan is why this nation NEEDS tougher gun laws #depressed #NYGvsMIN,0
595,6.80949E+17,6.80949E+17,12/27/2015,sladealec,"Well, goodbye gents, my life is over...  ","['#depressed', '#feetnation']","Well, goodbye gents, my life is over... #depressed #Feetnation",1
599,6.80931E+17,6.80931E+17,12/27/2015,itsmedyk,I am so  that I am  today,"['#depressed', '#chainsmoking']",I am so #Depressed that I am #ChainSmoking today,1
601,6.80922E+17,6.80922E+17,12/27/2015,mohammedalawami,Haven't seen the sun in weeks!!  ??,['#depressed'],Haven't seen the sun in weeks!! #Depressed ??,1
602,6.80922E+17,6.80922E+17,12/27/2015,gerardinebaugh,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(,"['#accident', '#depressed']",Michael has been in bed all day barely functional from car #accident+bad cold I have one #depressed Katman :-(,0
606,6.80911E+17,6.80911E+17,12/27/2015,kerrilouisemc14,"When all your family is out and you're reading a book, good times, good times???? ",['#depressed'],"When all your family is out and you're reading a book, good times, good times???? #depressed",0
610,6.80872E+17,6.80872E+17,12/26/2015,chairmakerpete,Well  couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints.,"['#arsenal', '#depressed']",Well #Arsenal couldn't really have done much more to spoil Christmas. Pointless beating City if we throw it away against Saints. #Depressed,0
611,6.8087E+17,6.8087E+17,12/26/2015,daniblaisdell,I feel so attacked all the time ??,['#depressed'],I feel so attacked all the time ?? #depressed,1
612,6.80863E+17,6.80863E+17,12/26/2015,marc0you,"If  ""ME"" is too light enough to float in the air , this ""ME"" will fall down to the point called suicide.    ","['#philosophy', '#dizzy', '#depressed']","If  ""ME"" is too light enough to float in the air , this ""ME"" will fall down to the point called suicide.  #philosophy #dizzy #depressed",1
616,6.80857E+17,6.80857E+17,12/26/2015,dustinlanglois3,Why do i always get treated like this...ugh!!!,"['#depressed', '#lonley', '#sad']",Why do i always get treated like this...ugh!!! #depressed #lonley #sad,1
619,6.80847E+17,6.80847E+17,12/26/2015,ashleyalison_,Why the hell is no one around when I need them,['#depressed'],Why the hell is no one around when I need them #depressed,1
623,6.80833E+17,6.80833E+17,12/26/2015,alexm994,"Everything seems wrong and I don't know what to do anymore, it's just so hard   ","['#upset', '#sad', '#depressed']","Everything seems wrong and I don't know what to do anymore, it's just so hard #upset #sad #depressed",1
624,6.80821E+17,6.80821E+17,12/26/2015,randalharrison,I don't think anyone fully comprehends how my back pain affects me emotionally.,"['#spondylolisthesis', '#depressed']",I don't think anyone fully comprehends how my back pain affects me emotionally. #Spondylolisthesis #Depressed,1
625,6.80817E+17,6.80817E+17,12/26/2015,tebza_tgn,A lot of  and  people out there looking for  but can't find it...,"['#lonely', '#depressed', '#love']",A lot of #lonely and #depressed people out there looking for #love but can't find it...,1
635,6.80767E+17,6.80767E+17,12/26/2015,suemcgran,Think ill have a nap - need it after that game,['#depressed'],Think ill have a nap - need it after that game #depressed,0
642,6.80731E+17,6.80731E+17,12/26/2015,aryanadg,"In St.Thomas. Can't tweet and watch PLL, wifi sucks. ",['#depressed'],"In St.Thomas. Can't tweet and watch PLL, wifi sucks. #depressed",0
644,6.80727E+17,6.80727E+17,12/26/2015,iamjustin89,So the  s are over...first time I had to celebrate it by own..,"['#xmascelebration', '#depressed', '#celebration']",So the #XmasCelebration s are over...first time I had to celebrate it by own..#depressed #celebration,0
658,6.80643E+17,6.80643E+17,12/26/2015,stephhreiman,finally finished one tree hill & now I don't know what to do with my life,['#depressed'],finally finished one tree hill & now I don't know what to do with my life #depressed,0
659,6.8064E+17,6.8064E+17,12/26/2015,jake_gunia4,"Sleep always makes the pain go away. It might not be for long, but at least it's gone. ",['#depressed'],"Sleep always makes the pain go away. It might not be for long, but at least it's gone. #depressed",1
661,6.80631E+17,6.80631E+17,12/26/2015,nataliechanel73,The worst part of my life is...  Taking down the Christmas Decorations...I am now,['#depressed'],The worst part of my life is...  Taking down the Christmas Decorations...I am now #depressed,0
667,6.80614E+17,6.80614E+17,12/26/2015,humanity250027,"Don't be  due to -ve activities of other's-Be  & understand,""Addicted of -ve ego satisfaction is dangerous""-Make distance","['#depressed', '#positive']","Don't be #depressed due to -ve activities of other's-Be #positive & understand,""Addicted of -ve ego satisfaction is dangerous""-Make distance",0
668,6.80613E+17,6.80613E+17,12/26/2015,elizabethasaur,"It's sucks when you don't know what is wrong, but you know something is wrong. .   ","['#depressed', '#lost']","It's sucks when you don't know what is wrong, but you know something is wrong. .  #depressed #lost",1
669,6.80612E+17,6.80612E+17,12/26/2015,thatonegirl1125,Bored as fucking shit christmas in a hospital isnt so fucking fun,['#depressed'],Bored as fucking shit christmas in a hospital isnt so fucking fun #depressed,1
670,6.80602E+17,6.80602E+17,12/26/2015,aideeluna11,"Why is it that every one gets  what I want,  I guess  whatever...   ",['#depressed'],"Why is it that every one gets  what I want,  I guess  whatever...   #Depressed",1
674,6.80597E+17,6.80597E+17,12/26/2015,tylerrmarshall3,wish things weren't how they are now. This year has had so much heart trauma. Makes my head spin for hours. Ugh I miss you,"['#sad', '#depressed']",wish things weren't how they are now. This year has had so much heart trauma. Makes my head spin for hours. Ugh I miss you #sad #depressed,1
702,6.8056E+17,6.8056E+17,12/26/2015,oftherose6,Christmas just ain't what it used to be.,['#depressed'],Christmas just ain't what it used to be. #Depressed,1
704,6.80547E+17,6.80547E+17,12/26/2015,mindless_muse1,This is my  stance....  pic.twitter.com/YI7vjfXH05,['#depressed'],This is my #depressed stance....  pic.twitter.com/YI7vjfXH05,0
707,6.80539E+17,6.80539E+17,12/26/2015,joebpng,"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. ",['#depressed'],"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. #Depressed",0
708,6.80536E+17,6.80536E+17,12/25/2015,franklinhabit,"Realization: No matter how long I live, ""All I Want for Christmas Is You"" will outlast me. ",['#depressed'],"Realization: No matter how long I live, ""All I Want for Christmas Is You"" will outlast me. #depressed",0
709,6.80534E+17,6.80534E+17,12/25/2015,trshock,I'm not  or . I always grow my toenails out and don't shave. Duh.,"['#depressed', '#lazy']",I'm not #Depressed or #Lazy. I always grow my toenails out and don't shave. Duh.,0
713,6.80489E+17,6.80489E+17,12/25/2015,lightonanxiety,You are not and never will be ALONE. We are all deeply interconnected.,"['#depressed', '#anxious']",You are not and never will be ALONE. We are all deeply interconnected. #depressed #anxious,0
715,6.80484E+17,6.80484E+17,12/25/2015,girlsidoadore_,"Emotional day, well time of the year for me ",['#depressed'],"Emotional day, well time of the year for me #Depressed",1
717,6.80466E+17,6.80466E+17,12/25/2015,heaven92944,"Well, I didn't receive any presents this year. Maybe it'll receive them in a couple of days or maybe next year.  ??????????????",['#depressed'],"Well, I didn't receive any presents this year. Maybe it'll receive them in a couple of days or maybe next year. #depressed ??????????????",0
721,6.80453E+17,6.80453E+17,12/25/2015,nbasketball21,Damn I'm the only one who didn't get JB tickets??,['#depressed'],Damn I'm the only one who didn't get JB tickets?? #depressed,0
726,6.80436E+17,6.80436E+17,12/25/2015,beckyboo_13,"Yet another  all alone, with no family, nobody at all apart from my pets.  I just feel like crying","['#sadchristmas', '#depressed']","Yet another #Sadchristmas all alone, with no family, nobody at all apart from my pets. #depressed I just feel like crying",1
729,6.80416E+17,6.80416E+17,12/25/2015,pastor_paul,Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK,"['#lonely', '#depressed']",Life's turned out totally different than you thought_You're lost & alone_Desperately Need Help-JesusChristHeals&SavesASK  #lonely #depressed,0
731,6.80406E+17,6.80406E+17,12/25/2015,glass1ncision,"..I know he wouldn't want me to cry or be , I heard that a million times along the way, but it's easier said then done. Miss him.",['#depressed'],"..I know he wouldn't want me to cry or be #depressed, I heard that a million times along the way, but it's easier said then done. Miss him.",1
732,6.80397E+17,6.80397E+17,12/25/2015,waltdisknee,i didnt get the ariana calendar.,"['#stressed', '#depressed']",i didnt get the ariana calendar. #stressed #depressed,0
740,6.80302E+17,6.80302E+17,12/25/2015,genesimmonsphd,"Gene Simmons, Ph.D. offers mental wellbeing to  souls. ","['#depressed', '#dearmentalhealthprofessionals']","Gene Simmons, Ph.D. offers mental wellbeing to #depressed souls. #DearMentalHealthProfessionals",0
741,6.80302E+17,6.80302E+17,12/25/2015,breck_carley,Just finished desperate housewives,"['#depressed', '#crying', '#throwingup']",Just finished desperate housewives #depressed #crying #throwingup,0
747,6.80286E+17,6.80286E+17,12/25/2015,browneyesbri,My bf said him and his parents drunk wrapping gifts ????????,['#depressed'],My bf said him and his parents drunk wrapping gifts ???????? #depressed,0
749,6.8028E+17,6.8028E+17,12/25/2015,_alexanduran,Christmas and gabe is not with me ???? what is life rn.,['#depressed'],Christmas and gabe is not with me ???? what is life rn. #depressed,0
751,6.80274E+17,6.80274E+17,12/25/2015,kaylensing,I just found my first grey hair. Worst Christmas gift EVER. Looks like I will be coloring my hair tomorrow,"['#depressed', '#imnotreadytogrowup']",I just found my first grey hair. Worst Christmas gift EVER. Looks like I will be coloring my hair tomorrow #depressed #ImNotReadyToGrowUp,0
754,6.80265E+17,6.80265E+17,12/25/2015,vibindw,All my photos from July disappeared. I could cry. Santa what have you done............,"['#depressed', '#cbmf']",All my photos from July disappeared. I could cry. Santa what have you done............ #Depressed #CBMF,0
755,6.80264E+17,6.80264E+17,12/25/2015,pgsportsgeek,"It used to be talking about nothing for hours, now it's just not talking. Really, what happened??  ","['#confused', '#depressed']","It used to be talking about nothing for hours, now it's just not talking. Really, what happened?? #confused #depressed",1
760,6.80242E+17,6.80242E+17,12/25/2015,lyssa_lynn,Where I thought I'd be tonight and who I'm with are not what I had in mind for Christmas.,"['#depressed', '#merrychristmas']",Where I thought I'd be tonight and who I'm with are not what I had in mind for Christmas. #depressed #merrychristmas,1
762,6.80236E+17,6.80236E+17,12/25/2015,solodolooutchea,First yr not being around my dad on da holidays n it's breaking my heart  I wish he just call me that's all i want 4 Christmas,['#depressed'],First yr not being around my dad on da holidays n it's breaking my heart #depressed I wish he just call me that's all i want 4 Christmas,1
763,6.80231E+17,6.80231E+17,12/25/2015,luxeyellowcorn,I just got off work I don't have any food at my house bc leaving tomorrow and McDonald's isn't even open right now,['#depressed'],I just got off work I don't have any food at my house bc leaving tomorrow and McDonald's isn't even open right now #depressed,0
766,6.80214E+17,6.80214E+17,12/25/2015,emma_juliet,First Christmas Eve in almost 20 years that I won't be sleeping with @lizwillis_,['#depressed'],First Christmas Eve in almost 20 years that I won't be sleeping with @lizwillis_ #depressed,0
768,6.80211E+17,6.80211E+17,12/25/2015,_noahalvarez,Wanted to watch the TNF game but I forgot my parents cancelled the NFL Network package ????,['#depressed'],Wanted to watch the TNF game but I forgot my parents cancelled the NFL Network package ???? #depressed,0
770,6.80205E+17,6.80205E+17,12/25/2015,monkeysandmore,Alone? We have no family coming this year..hit me up for a chat! Would love to keep folks company :),"['#alone', '#lonely', '#depressed']",Alone? We have no family coming this year..hit me up for a chat! Would love to keep folks company :) #alone #lonely #depressed,0
771,6.80204E+17,6.80204E+17,12/25/2015,zachdprado,Can people please stop posting pics with their families. Thanks.,['#depressed'],Can people please stop posting pics with their families. Thanks. #depressed,1
773,6.802E+17,6.802E+17,12/25/2015,ohxmyxaddiction,All I want for Christmas is my daughters to come home ?? is that to much,"['#sadmom', '#depressed', '#missingthem']",All I want for Christmas is my daughters to come home ?? is that to much #sadmom #depressed #missingthem,1
774,6.80191E+17,6.80191E+17,12/25/2015,healthisarange,"Being clinically  is not the same thing as having a bad day now and then. It's a relentless, debilitating disease",['#depressed'],"Being clinically #depressed is not the same thing as having a bad day now and then. It's a relentless, debilitating disease",1
775,6.80188E+17,6.80188E+17,12/25/2015,alexa_curtis,Tonight couldn't feel less like Christmas Eve,['#depressed'],Tonight couldn't feel less like Christmas Eve #depressed,0
778,6.80178E+17,6.80178E+17,12/25/2015,leanglitter,Even if she is tipsy I love her -Joe     pic.twitter.com/qHSAqDJN9j,"['#turnup', '#oops', '#depressed']",Even if she is tipsy I love her -Joe #turnup #oops #depressed  pic.twitter.com/qHSAqDJN9j,0
779,6.80167E+17,6.80167E+17,12/24/2015,andya09,Well another day almost gone. So crawling back into my hole and hiding now.,"['#alone', '#depressed']",Well another day almost gone. So crawling back into my hole and hiding now. #alone #depressed,1
781,6.80163E+17,6.80163E+17,12/24/2015,vintage1dfan,"I need a Harry Hug. Just a hug, nothing else. ",['#depressed'],"I need a Harry Hug. Just a hug, nothing else. #depressed",0
789,6.80133E+17,6.80133E+17,12/24/2015,carpebellum,I feel like I'm just waiting for the day to be over to get to the next day so I'll be one day closer to my life changing.,['#depressed'],I feel like I'm just waiting for the day to be over to get to the next day so I'll be one day closer to my life changing. #Depressed,1
790,6.80133E+17,6.80133E+17,12/24/2015,dannybradley92,It's gutting seeing everyone's snapchats of them getting on it while I'm stuck at work for Christmas and new year,"['#depressed', '#merrychristmas']",It's gutting seeing everyone's snapchats of them getting on it while I'm stuck at work for Christmas and new year #depressed #MerryChristmas,0
791,6.80126E+17,6.80126E+17,12/24/2015,starknificent1,So much for Xmas eve   pic.twitter.com/0hIsigongM,['#depressed'],So much for Xmas eve #depressed  pic.twitter.com/0hIsigongM,0
792,6.80125E+17,6.80125E+17,12/24/2015,i4maodilibe,So my blood pressure is back up,"['#depressed', '#twostepback']",So my blood pressure is back up #depressed #twostepback,1
793,6.80125E+17,6.80125E+17,12/24/2015,_athenamonroe,Its 2:37 & I event left nor have I ate....,['#depressed'],Its 2:37 & I event left nor have I ate.... #Depressed,0
796,6.80123E+17,6.80123E+17,12/24/2015,angel_is_dead,Was called a slut last night…um I'm not one…I don't have sex with every guy I meet…get it right people…??????,"['#depressed', '#upset']",Was called a slut last night…um I'm not one…I don't have sex with every guy I meet…get it right people…?????? #depressed #upset,0
797,6.80122E+17,6.80122E+17,12/24/2015,deziraestyless,"when ur really  on xmas eve :,)",['#depressed'],"when ur really #depressed on xmas eve :,)",0
805,6.80095E+17,6.80095E+17,12/24/2015,nyiaselena,I really got a hair cut last night  ??,['#depressed'],I really got a hair cut last night #depressed ??,0
813,6.80073E+17,6.80073E+17,12/24/2015,mo_loves,The 1st thing I do when I'm  is look up sad things. I think I need to be looking up happy things instead.  pic.twitter.com/7h5BkVZKB8,['#depressed'],The 1st thing I do when I'm #depressed is look up sad things. I think I need to be looking up happy things instead.  pic.twitter.com/7h5BkVZKB8,1
829,6.80018E+17,6.80018E+17,12/24/2015,saminimuffin,Laying in bed til work  highlight of my day will be drinking  tonight ??,"['#depressed', '#wine']",Laying in bed til work #depressed highlight of my day will be drinking #wine tonight ??,0
843,6.80004E+17,6.80004E+17,12/24/2015,invisiblepains,"I'm not suicidal. But I admit, there are moments where I wonder... ",['#depressed'],"I'm not suicidal. But I admit, there are moments where I wonder... #Depressed",1
844,6.8E+17,6.8E+17,12/24/2015,amanialvir_mars,No one understands me... myself included...,['#depressed'],No one understands me... myself included... #depressed,1
846,6.79995E+17,6.79995E+17,12/24/2015,biggeneral_jigg,Can't go back to sleep and I got work in 2 hours..,['#depressed'],Can't go back to sleep and I got work in 2 hours.. #depressed,0
849,6.79967E+17,6.79967E+17,12/24/2015,ricksavage12,It's very hard to feel better because it's been so long that I don't remember what better felt like!!,['#depressed'],It's very hard to feel better because it's been so long that I don't remember what better felt like!! #Depressed,1
851,6.79958E+17,6.79958E+17,12/24/2015,lorenzomuli,"tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__-  ","['#failure', '#depressed']","tbh, I'm NOT that Excited to celebrate Christmas because of my disappointments -__- #Failure #depressed",1
855,6.79955E+17,6.79955E+17,12/24/2015,kathyt17,This time last year I was on a plane to New York...,['#depressed'],This time last year I was on a plane to New York... #depressed,0
856,6.79951E+17,6.79951E+17,12/24/2015,gibsonbear_,"Hell's teeth, this day just gets better. No Her earlier; dragged into the office; assumed she was already there. She's not. ",['#depressed'],"Hell's teeth, this day just gets better. No Her earlier; dragged into the office; assumed she was already there. She's not. #depressed",0
857,6.79942E+17,6.79942E+17,12/24/2015,flyinryan74,Don't feel good at all right now    no one to talk to,"['#sad', '#depressed', '#alone']",Don't feel good at all right now #sad #Depressed #alone no one to talk to,1
858,6.79936E+17,6.79936E+17,12/24/2015,easyitcommunity,HealthTap: I haven't eaten anything all day because I feel  and low What should I do? ,"['#depressed', '#anxious']",HealthTap: I haven't eaten anything all day because I feel #depressed and #anxious. What should I do? … pic.twitter.com/DU4B9jmPIr,1
861,6.79924E+17,6.79924E+17,12/24/2015,kaitlinmarie_14,I am so sad I have to work on Christmas. My favorite time of year & I'm gonna be working &/or alone in my apartment ??????????,"['#depressed', '#sucks']",I am so sad I have to work on Christmas. My favorite time of year & I'm gonna be working &/or alone in my apartment ?????????? #depressed #sucks,1
868,6.7991E+17,6.7991E+17,12/24/2015,relaxintuit,"Today, set up 3 coffee dates with people you suspect are ,  or just need to talk.  pic.twitter.com/OgPY3IdGAO","['#lonely', '#depressed']","Today, set up 3 coffee dates with people you suspect are #lonely, #depressed or just need to talk.  pic.twitter.com/OgPY3IdGAO",0
869,6.79905E+17,6.79905E+17,12/24/2015,lil_brownie723,Tonight ended exactly how I didn't want it to,['#depressed'],Tonight ended exactly how I didn't want it to #depressed,1
871,6.79898E+17,6.79898E+17,12/24/2015,abby_shvy,Why are these fine guys on my timeline? Get off your too hot for me. I can't take it anymore.,['#depressed'],Why are these fine guys on my timeline? Get off your too hot for me. I can't take it anymore. #depressed,0
872,6.79897E+17,6.79897E+17,12/24/2015,angel_is_dead,"I hate when my sisters…say… ""I'm going kill myself"" Ugh so fucking triggering…   ","['#depressed', '#trigger', '#meansisters']","I hate when my sisters…say… ""I'm going kill myself"" Ugh so fucking triggering… #depressed #trigger #meansisters",0
875,6.79891E+17,6.79891E+17,12/24/2015,alightinthedrk,Happy holidays and Merry Christmas. It's a rough time if you are . I know. It will be over soon.,['#depressed'],Happy holidays and Merry Christmas. It's a rough time if you are #depressed. I know. It will be over soon.,0
877,6.79886E+17,6.79886E+17,12/24/2015,barb_goyette,So I put a movie in for us to watch as a family & I'm the only one here everyone left for bed.    hope ur all ??,"['#unloved', '#crying', '#depressed']",So I put a movie in for us to watch as a family & I'm the only one here everyone left for bed. #unloved #crying #depressed hope ur all ??,0
878,6.79885E+17,6.79885E+17,12/24/2015,_shannondoherty,Had the best week w my ppl but wish there didn't have to be another goodbye,"['#depressed', '#whyisntitsummer']",Had the best week w my ppl but wish there didn't have to be another goodbye #depressed #whyisntitsummer,0
