,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
53,8.15E+17,8.15E+17,12/31/2016,pun_dragon_,??íïit will be ok ??íï    pic.twitter.com/di7n1sDxAS,"['#depressed', '#depression', '#anxiety']",??íïit will be ok ??íï #depressed #depression #anxiety pic.twitter.com/di7n1sDxAS,0
54,8.15E+17,8.15E+17,12/31/2016,yundongist,properly n also i am super  i jus wanna deactivate again,['#depressed'],properly n also i am super #depressed i jus wanna deactivate again,0
60,8.15E+17,8.15E+17,12/31/2016,louis97112,Honestly I could use someone to talk to....,[],Honestly I could use someone to talk to....#depressed#done,1
67,8.15E+17,8.15E+17,12/31/2016,jelly00151,Anyone got kik? I need someone to talk too   ,"['#kik', '#depressed', '#sad']",Anyone got kik? I need someone to talk too #kik #depressed #sad,1
68,8.15E+17,8.15E+17,12/31/2016,erinmaloney16,Can't sleep..got so much on my mind ,['#depressed'],Can't sleep..got so much on my mind #depressed,1
69,8.15E+17,8.15E+17,12/31/2016,depressingchild,I spent hundreds of dollars on makeup online to cover my ugly face ;-;   ,"['#uglyme', '#cri', '#depressed']",I spent hundreds of dollars on makeup online to cover my ugly face ;-; #uglyme #cri #depressed,1
73,8.15E+17,8.15E+17,12/31/2016,dan_247,Sometimes  starts from being  or . For support and advice call 0808 808 2234. rb  pic.twitter.com/ie8cGAUNMv,"['#addiction', '#lonely', '#depressed']",Sometimes #addiction starts from being #lonely or #depressed. For support and advice call 0808 808 2234. rb  pic.twitter.com/ie8cGAUNMv,0
76,8.15E+17,8.15E+17,12/31/2016,melelizabeth28,Not only have I posted a blog post daily for 2 months I've also filmed and uploaded a daily vlog whilst being severely  ,"['#depressed', '#blogger']",Not only have I posted a blog post daily for 2 months I've also filmed and uploaded a daily vlog whilst being severely #depressed #blogger,1
79,8.15E+17,8.15E+17,12/31/2016,brittney_m1216,"Wish I was one of those girls that has a dad that would do anything for them, not a jerk of a sperm donor ",['#depressed'],"Wish I was one of those girls that has a dad that would do anything for them, not a jerk of a sperm donor #depressed",1
90,8.15E+17,8.15E+17,12/30/2016,dierrgo,We were going to bdubs today but not anymore  cacacaca,['#depressed'],We were going to bdubs today but not anymore #depressed cacacaca,0
94,8.15E+17,8.15E+17,12/30/2016,viktoriaukr,stage of my  when everything loosing meaning but i dont think i am ,"['#life', '#depressed']",stage of my #life when everything loosing meaning but i dont think i am #depressed,1
95,8.15E+17,8.15E+17,12/30/2016,freebombx,I've literally been in the bed all day. ,['#depressed'],I've literally been in the bed all day. #depressed,1
99,8.15E+17,8.15E+17,12/30/2016,cali_dm,Having holiday for the first time in 4/5 years ‚Ä¶ and i hate it.   ,"['#notnormal', '#depressed', '#iwannagetbacktowork']",Having holiday for the first time in 4/5 years ‚Ä¶ and i hate it. #NotNormal #Depressed #IWannaGetBackToWork,0
169,8.15E+17,8.15E+17,12/30/2016,vintagehippiee_,Forgot my cheese cake at work ,['#depressed'],Forgot my cheese cake at work #depressed,1
171,8.15E+17,8.15E+17,12/30/2016,_hisrebellion,I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. that's so pathetic & humiliating .. ??íî??§ß ,['#depressed'],I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. that's so pathetic & humiliating .. ??íî??§ß #depressed,1
181,8.15E+17,8.15E+17,12/30/2016,bigredhusker77,The only bad thing about reading:  finishing a great book/series and getting sad that the story is over. ,['#depressed'],The only bad thing about reading:  finishing a great book/series and getting sad that the story is over. #depressed,0
183,8.15E+17,8.15E+17,12/30/2016,cheeseloaf_loaf,Made my day. Thankyou very much!! ... ,['#depressed'],Made my day. Thankyou very much!! ... #depressed,0
185,8.15E+17,8.15E+17,12/30/2016,becky7095,Mystery solved. No wonder I'm a   ???Ç???≠ pic.twitter.com/axTpaQ3h0t,"['#depressed', '#insomniac']",Mystery solved. No wonder I'm a #depressed #insomniac ???Ç???≠ pic.twitter.com/axTpaQ3h0t,0
187,8.15E+17,8.15E+17,12/30/2016,thatnutcase,One thing that always makes me sad is when I think about my life too much. The key is to keep myself distracted!  ,"['#depressed', '#ocd']",One thing that always makes me sad is when I think about my life too much. The key is to keep myself distracted! #depressed #OCD,1
188,8.15E+17,8.15E+17,12/30/2016,thatnutcase,I can be so emotional... Way too emotional! ,['#depressed'],I can be so emotional... Way too emotional! #depressed,1
190,8.15E+17,8.15E+17,12/30/2016,pun_dragon_,??íïyou are significant ??íï    pic.twitter.com/28QHqxYkc9,"['#depressed', '#depression', '#anxiety']",??íïyou are significant ??íï #depressed #depression #anxiety pic.twitter.com/28QHqxYkc9,0
191,8.15E+17,8.15E+17,12/30/2016,_dollierocker_,Let's window-shop for pretty NYE dresses even though we know we'll be bedridden that night. Doesn't that sound fun??  ,"['#depressed', '#notblessed']",Let's window-shop for pretty NYE dresses even though we know we'll be bedridden that night. Doesn't that sound fun?? #depressed #notblessed,0
193,8.15E+17,8.15E+17,12/30/2016,transjimmy,When you repress your emotions so much it takes days to figure out you're not just being tired and lazy ,['#depressed'],When you repress your emotions so much it takes days to figure out you're not just being tired and lazy #depressed,0
199,8.15E+17,8.15E+17,12/30/2016,lifesucks83,How is it that a  and  person can plan better for life than the people who wanna live?!,"['#depressed', '#suicidal']",How is it that a #depressed and #suicidal person can plan better for life than the people who wanna live?!,0
203,8.15E+17,8.15E+17,12/30/2016,letchel25,Visited with my ex tonight. Not good.  ,"['#cancersucks', '#depressed']",Visited with my ex tonight. Not good. #cancersucks #depressed,1
208,8.15E+17,8.15E+17,12/30/2016,michael6483,???î???î???î???î???î???î???î  Until the Game is officially over. I assume a Loss... Why?? Bylsma and Lehner. ???î???î???î???î???î???î???î ,"['#depressed', '#sabres']",???î???î???î???î???î???î???î #Depressed Until the Game is officially over. I assume a Loss... Why?? Bylsma and Lehner. ???î???î???î???î???î???î???î #Sabres,0
209,8.15E+17,8.15E+17,12/30/2016,seoulman25,"With two nurses in the family, dinner conversations consists of sad stories, bodily fluids and everything in between  ","['#depressed', '#noappetite']","With two nurses in the family, dinner conversations consists of sad stories, bodily fluids and everything in between #Depressed #NoAppetite",0
212,8.15E+17,8.15E+17,12/30/2016,urbancitycowboy,Can't for one moment think why I've never had a girlfriend. ???ï    pic.twitter.com/GkMrIhR6LI,"['#nearlya40yearoldvirgin', '#depressed']",Can't for one moment think why I've never had a girlfriend. ???ï #nearlya40yearoldvirgin #depressed  pic.twitter.com/GkMrIhR6LI,1
213,8.15E+17,8.15E+17,12/30/2016,jsmnlikealaddin,Just got back home to Orlando ...or should I say just got back to my place of living Bc this doesn't feel like home.  ???©,['#depressed'],Just got back home to Orlando ...or should I say just got back to my place of living Bc this doesn't feel like home. #depressed ???©,0
215,8.15E+17,8.15E+17,12/29/2016,fortunepolite,if I could I would feel nothing that's the truth and I don't care. the world is cold and life's not fair.   ,"['#depressed', '#dead', '#teamfollowback']",if I could I would feel nothing that's the truth and I don't care. the world is cold and life's not fair. #Depressed #dead #Teamfollowback,1
218,8.15E+17,8.15E+17,12/29/2016,t_ng0,Saving up to buy a house so I guess I should stop going to the movies more than once to see my new favorite Disney movies ,['#depressed'],Saving up to buy a house so I guess I should stop going to the movies more than once to see my new favorite Disney movies #depressed,0
223,8.15E+17,8.15E+17,12/29/2016,theebetsynoelle,I saw a wiener dog last night and I didn't pet it :( ,['#depressed'],I saw a wiener dog last night and I didn't pet it :( #depressed,0
226,8.15E+17,8.15E+17,12/29/2016,iamkarli_j,Damn braids snatched out my edges ???©???©??ôÑ ,['#depressed'],Damn braids snatched out my edges ???©???©??ôÑ #Depressed,0
230,8.15E+17,8.15E+17,12/29/2016,alexjmcguinness,There's only 2 things people can do for me. 1 help me become happy 2 explain to CID why my death wasn't prevented.  ,"['#depression', '#depressed']",There's only 2 things people can do for me. 1 help me become happy 2 explain to CID why my death wasn't prevented. #depression #depressed,0
231,8.15E+17,8.15E+17,12/29/2016,anewsin,What a pain in the ass day. ,['#depressed'],What a pain in the ass day. #depressed,0
238,8.15E+17,8.15E+17,12/29/2016,sabrinariojas,"Omfgoodness! I have gained soooooooooo much weight, it is on like donkey Kong! ",['#depressed'],"Omfgoodness! I have gained soooooooooo much weight, it is on like donkey Kong! #depressed",1
241,8.14E+17,8.14E+17,12/29/2016,stevlandnicks,Halloweentown was my fave Halloween movie.   :'),"['#depressed', '#debbiereynolds']",Halloweentown was my fave Halloween movie. #depressed #DebbieReynolds :'),0
242,8.14E+17,8.14E+17,12/29/2016,lucylinsis,"life is too hard, and you don't have a clue to it. guess what, doing nothing can also kill yourself. ",['#depressed'],"life is too hard, and you don't have a clue to it. guess what, doing nothing can also kill yourself. #depressed",0
248,8.14E+17,8.14E+17,12/29/2016,victoriab_95,Just want to stay in bed all day... ,['#depressed'],Just want to stay in bed all day... #depressed,1
253,8.14E+17,8.14E+17,12/29/2016,selenatamiago,Deeply saddened about Carrie Fisher and Debbie Reynolds passing. My heart goes to their family and friends.  ,"['#ripdebbieandcarrie', '#depressed']",Deeply saddened about Carrie Fisher and Debbie Reynolds passing. My heart goes to their family and friends. #RipDebbieAndCarrie #depressed,0
254,8.14E+17,8.14E+17,12/29/2016,abarba,If youre  youre living in the past. If youre  youre living in the future.  If youre at  youre living in the present,"['#depressed', '#anxious', '#peace']",If youre #depressed youre living in the past. If youre #anxious youre living in the future.  If youre at #peace youre living in the present,0
256,8.14E+17,8.14E+17,12/29/2016,maggiemaycook,When monty and I read a list of all the great people we lost this year   ,"['#depressed', '#pain', '#tears']",When monty and I read a list of all the great people we lost this year #depressed #pain #tears,0
257,8.14E+17,8.14E+17,12/29/2016,pun_dragon_,??íïyour feelings are important ??íï    pic.twitter.com/POSQSHqCna,"['#depressed', '#depression', '#anxiety']",??íïyour feelings are important ??íï #depressed #depression #anxiety pic.twitter.com/POSQSHqCna,0
259,8.14E+17,8.14E+17,12/29/2016,clausenkim,I shouldnt let it bother me but it does. I hate nights like this when my thoughts wont leave me in peace.  ,"['#depressed', '#sad']",I shouldnt let it bother me but it does. I hate nights like this when my thoughts wont leave me in peace. #depressed #sad,1
265,8.14E+17,8.14E+17,12/29/2016,sarahstroh_,lexis so beautiful it makes me ,['#depressed'],lexis so beautiful it makes me #depressed,0
268,8.14E+17,8.14E+17,12/29/2016,yeoreumhan,I don't know why these whole things are happening to me. I feel so  and . I don't know what to say to my parents too. ,"['#painful', '#depressed', '#sad']",I don't know why these whole things are happening to me. I feel so #painful and #depressed. I don't know what to say to my parents too. #sad,1
273,8.14E+17,8.14E+17,12/29/2016,odyth,why am i so ?‚Ä¶.oh that‚Äôs right I‚Äôm writing .,"['#depressed', '#javascript']",why am i so #depressed?‚Ä¶.oh that‚Äôs right I‚Äôm writing #javascript.,0
280,8.14E+17,8.14E+17,12/29/2016,truefiter20,Maybe I won't see 2017. I don't know.   ,"['#irritable', '#depressed', '#angry']",Maybe I won't see 2017. I don't know. #irritable #depressed #angry,1
283,8.14E+17,8.14E+17,12/29/2016,aliseann_glover,Having a day where I hate myself for not perusing art stuff harder & being too sad to do anything about that.  ,"['#depressed', '#lame']",Having a day where I hate myself for not perusing art stuff harder & being too sad to do anything about that. #depressed #lame,1
289,8.14E+17,8.14E+17,12/28/2016,andrewvickers92,I am the blue ball.     pic.twitter.com/Cy0nFtBk1I,"['#sad', '#depressed', '#peoplehateme']",I am the blue ball.  #Sad #Depressed #Peoplehateme pic.twitter.com/Cy0nFtBk1I,1
291,8.14E+17,8.14E+17,12/28/2016,jamesclarkross,The team looked so uninspired after 20-30 mins day. You'd think the HT team talk would have helped. Guess again.  ,"['#saintsfc', '#depressed']",The team looked so uninspired after 20-30 mins day. You'd think the HT team talk would have helped. Guess again. #SaintsFC #depressed,0
292,8.14E+17,8.14E+17,12/28/2016,keagrief,my vibe is being  and  in my local Texas Roadhouse,"['#depressed', '#crying']",my vibe is being #DEPRESSED and #crying in my local Texas Roadhouse,0
296,8.14E+17,8.14E+17,12/28/2016,ac_ninety90,"A year ago we was 38,000ft up in the air, en route to Australia via Dubai.....  pic.twitter.com/FAFcKWtNJ3",['#depressed'],"A year ago we was 38,000ft up in the air, en route to Australia via Dubai.....#Depressed  pic.twitter.com/FAFcKWtNJ3",0
297,8.14E+17,8.14E+17,12/28/2016,ibrusidd7,"If Russia, Saudia or Iran wants to use an extra man to die for them in any battlefield anywhere in the world would happily join, ",['#depressed'],"If Russia, Saudia or Iran wants to use an extra man to die for them in any battlefield anywhere in the world would happily join, #depressed",1
305,8.14E+17,8.14E+17,12/28/2016,millapress,wen u post '' one time  pic.twitter.com/L8up5r4D7v,['#depressed'],wen u post '#depressed' one time  pic.twitter.com/L8up5r4D7v,0
307,8.14E+17,8.14E+17,12/28/2016,samantha_hslr,"I hate it when my brother thinks, it would be funny to make jokes about me ???§????  af ","['#angry', '#depressed']","I hate it when my brother thinks, it would be funny to make jokes about me ???§???? #angry af #depressed",0
314,8.14E+17,8.14E+17,12/28/2016,ebook_the_grugq,"tl;dr looks a lot of (foreign) family overseas as well, since it might be more like ",['#depressed'],"tl;dr looks a lot of (foreign) family overseas as well, since it might be more like #depressed",0
319,8.14E+17,8.14E+17,12/28/2016,michaela_twito,West side story was literally the worst movie I have ever seen... Why do people like it??? ,['#depressed'],West side story was literally the worst movie I have ever seen... Why do people like it??? #depressed,0
327,8.14E+17,8.14E+17,12/28/2016,kendra_rushlow,"I thought this was supposed to be a happy time of year, but honestly this is always the most depressing time of the year. ",['#depressed'],"I thought this was supposed to be a happy time of year, but honestly this is always the most depressing time of the year. #depressed",0
328,8.14E+17,8.14E+17,12/28/2016,belpascuaa,You let me drown in my own tears which held everything I hated and regretted. I once loved you. How could you? ,['#depressed'],You let me drown in my own tears which held everything I hated and regretted. I once loved you. How could you? #Depressed,0
329,8.14E+17,8.14E+17,12/28/2016,ashleylantzy,i missed lunch bc i was doing an evaluation and it's wing wednesday ,['#depressed'],i missed lunch bc i was doing an evaluation and it's wing wednesday #depressed,0
330,8.14E+17,8.14E+17,12/28/2016,megsneill,This time last year me and Ronan were in Prague ???´???´ ,['#depressed'],This time last year me and Ronan were in Prague ???´???´ #depressed,0
332,8.14E+17,8.14E+17,12/28/2016,lidagalkina,"Reading tweets about someone's death makes me think I'll die someday, maybe soon, who knows... ",['#depressed'],"Reading tweets about someone's death makes me think I'll die someday, maybe soon, who knows... #depressed",1
337,8.14E+17,8.14E+17,12/28/2016,fasihmughal1381, ‚Äî listening to Ae Dil Hai Mushkil Title Track,['#depressed'],#Depressed ‚Äî listening to Ae Dil Hai Mushkil Title Track,0
338,8.14E+17,8.14E+17,12/28/2016,leeakapoodles,Please can all the famous people take NOTE we have 3 days left of 2016. I'm done don't wanna c another they'll be missed message ,['#depressed'],Please can all the famous people take NOTE we have 3 days left of 2016. I'm done don't wanna c another they'll be missed message #depressed,0
340,8.14E+17,8.14E+17,12/28/2016,dashinghassi,"People come and go, but life is simply about seeing who cares enough to stay. ",['#depressed'],"People come and go, but life is simply about seeing who cares enough to stay. #Depressed",0
342,8.14E+17,8.14E+17,12/28/2016,pun_dragon_,??íïit will be alright ??íï    pic.twitter.com/9yAw9Ze9BT,"['#depressed', '#depression', '#anxiety']",??íïit will be alright ??íï #depressed #depression #anxiety pic.twitter.com/9yAw9Ze9BT,0
343,8.14E+17,8.14E+17,12/28/2016,kaguracian,these gachas on both deresute and enstars. ,['#depressed'],these gachas on both deresute and enstars. #depressed,0
344,8.14E+17,8.14E+17,12/28/2016,cameronkacirxp,They say it's not my fault but I feel like it is. ???•???¢???∞ ,['#depressed'],They say it's not my fault but I feel like it is. ???•???¢???∞ #depressed,0
346,8.14E+17,8.14E+17,12/28/2016,ceceglarski,Being sun deprived in an office for 9 hours a day is keeping me from my old blonde days ,['#depressed'],Being sun deprived in an office for 9 hours a day is keeping me from my old blonde days #depressed,0
350,8.14E+17,8.14E+17,12/28/2016,salsg21,   i want to flashback and skip 2016,"['#depressed', '#ripcarrie']",#depressed #RIPCarrie  i want to flashback and skip 2016,0
358,8.14E+17,8.14E+17,12/28/2016,kenziecruzz,I'm falling apart and no one cares   pic.twitter.com/2APJu6tKV0,['#depressed'],I'm falling apart and no one cares #depressed  pic.twitter.com/2APJu6tKV0,1
370,8.14E+17,8.14E+17,12/27/2016,killiehippo,"Oh dear, we are a bad lot, we specialise in making bang average teams look like superstars ",['#depressed'],"Oh dear, we are a bad lot, we specialise in making bang average teams look like superstars #depressed",0
377,8.14E+17,8.14E+17,12/27/2016,jasmineelisa16,Carrie Fischer also known as Princess Leia passed away. ??íî ,['#depressed'],Carrie Fischer also known as Princess Leia passed away. ??íî #depressed,0
378,8.14E+17,8.14E+17,12/27/2016,gycsengee,"I always love my family, I always love you as my sister, but not anymore. You are not the same.   ","['#sad', '#depressed', '#dissapointed']","I always love my family, I always love you as my sister, but not anymore. You are not the same. #sad #depressed #dissapointed",0
379,8.14E+17,8.14E+17,12/27/2016,tarzanc1," oh dear, that ending was depressing! Nothing says Merry Christmas like a murder, plot twist+suicide ??ôà ","['#witnessfortheprosecution', '#depressed']","#witnessfortheprosecution oh dear, that ending was depressing! Nothing says Merry Christmas like a murder, plot twist+suicide ??ôà #depressed",0
383,8.14E+17,8.14E+17,12/27/2016,alexjmcguinness,I can tell by the end of the night I'm gonna cut my arm  ,"['#depression', '#depressed']",I can tell by the end of the night I'm gonna cut my arm #depression #depressed,1
388,8.14E+17,8.14E+17,12/27/2016,jtate,No! No! No!!!    pic.twitter.com/vpoZSMSbXL,"['#depressed', '#carriefisher', '#childhoodmemories']",No! No! No!!! #depressed #CarrieFisher #childhoodmemories pic.twitter.com/vpoZSMSbXL,0
390,8.14E+17,8.14E+17,12/27/2016,alexjmcguinness,It's only 7:20pm and I'm off my tits on alcohol   ,"['#depression', '#depressed']",It's only 7:20pm and I'm off my tits on alcohol  #depression #depressed,1
392,8.14E+17,8.14E+17,12/27/2016,alexjmcguinness,"Drunk and singing along to bmth, asking alexandria and of mice and men, rip my parents eardrums  ","['#depression', '#depressed']","Drunk and singing along to bmth, asking alexandria and of mice and men, rip my parents eardrums #depression #depressed",0
393,8.14E+17,8.14E+17,12/27/2016,senor_moody,More terrible news Dammit! I'm about to punch 2016 in the dick!! ,['#depressed'],More terrible news Dammit! I'm about to punch 2016 in the dick!! #depressed,0
396,8.14E+17,8.14E+17,12/27/2016,awkwardjokester,I literally can't even with the news about Carrie Fisher!   ,"['#depressed', '#hurry2017']",I literally can't even with the news about Carrie Fisher!  #depressed #hurry2017,0
398,8.14E+17,8.14E+17,12/27/2016,lordm___,what a long ass weekend!!!   ,"['#depressed', '#exhausted', '#tired']",what a long ass weekend!!! #Depressed #Exhausted #Tired,0
403,8.14E+17,8.14E+17,12/27/2016,alexjmcguinness,"Im getting drunk on mont blanc ,watching big bang theory and eating cake.  ","['#depression', '#depressed']","Im getting drunk on mont blanc ,watching big bang theory and eating cake. #depression #depressed",0
404,8.14E+17,8.14E+17,12/27/2016,datni66alilg,Is it bad I'm thinking bout saying fucc work and Gettin Drunk aGain ,['#depressed'],Is it bad I'm thinking bout saying fucc work and Gettin Drunk aGain #Depressed,1
413,8.14E+17,8.14E+17,12/27/2016,therealkiddeath,Found out something today apparently im a bad person???? ,['#depressed'],Found out something today apparently im a bad person???? #depressed,1
418,8.14E+17,8.14E+17,12/27/2016,twiz_13,"I would never kill myself, but I don't think I would do anything to stop death from coming ",['#depressed'],"I would never kill myself, but I don't think I would do anything to stop death from coming #depressed",1
422,8.14E+17,8.14E+17,12/27/2016,alden_kizer,Why doesn't Christmas last longer ???© ,['#depressed'],Why doesn't Christmas last longer ???© #depressed,0
424,8.14E+17,8.14E+17,12/27/2016,0401rurutic,No Sawamura dose since last week. ,['#depressed'],No Sawamura dose since last week. #depressed,0
427,8.14E+17,8.14E+17,12/27/2016,music_lover0304,When they end your favourite tv show with the main character dying....   ,"['#sosad', '#worstending', '#depressed']",When they end your favourite tv show with the main character dying.... #sosad #worstending #depressed,0
431,8.14E+17,8.14E+17,12/27/2016,poppy_seed14,"How do you put your heart and souls into something for 5+ years, and get treated like you don't exist there? ",['#depressed'],"How do you put your heart and souls into something for 5+ years, and get treated like you don't exist there? #depressed",1
432,8.14E+17,8.14E+17,12/27/2016,missingme00,Fresh wounds are best means of relief from inner stress...   ,"['#depressed', '#anxious', '#stressed']",Fresh wounds are best means of relief from inner stress... #depressed #anxious #stressed,0
433,8.14E+17,8.14E+17,12/27/2016,missingme00,Wounds and scars look beautiful on my body ...   ,"['#depressed', '#anxious', '#alone']",Wounds and scars look beautiful on my body ... #depressed #anxious #alone,1
435,8.14E+17,8.14E+17,12/27/2016,tatnjanike,I dreamt my barber was sick on haircut day bro.. i lost weight in my sleep ???≠???≠   pic.twitter.com/Utaiw8JShW,['#depressed'],I dreamt my barber was sick on haircut day bro.. i lost weight in my sleep ???≠???≠ #depressed  pic.twitter.com/Utaiw8JShW,0
439,8.14E+17,8.14E+17,12/27/2016,pun_dragon_,??íïyou are respectable ??íï    pic.twitter.com/NiQXmIwMda,"['#depressed', '#depression', '#anxiety']",??íïyou are respectable ??íï #depressed #depression #anxiety pic.twitter.com/NiQXmIwMda,0
441,8.14E+17,8.14E+17,12/27/2016,mohdjsbms,Really feel like shouting and throw things. I'm just so vexed.  ,"['#feelingangry', '#depressed']",Really feel like shouting and throw things. I'm just so vexed. #feelingangry #depressed,1
443,8.14E+17,8.14E+17,12/27/2016,dailyoneliner1,Only the insecure withhold praise of another's achievements     ,"['#depressed', '#insecurity', '#compliment']",Only the insecure withhold praise of another's achievements   #depressed #insecurity #compliment,1
445,8.14E+17,8.14E+17,12/27/2016,aloofobserver,"I'm always uncomfortable, especially now that I've picked up so much weight.  I'm the heaviest I've ever been in my life.  .",['#depressed'],"I'm always uncomfortable, especially now that I've picked up so much weight.  I'm the heaviest I've ever been in my life.  #depressed.",1
446,8.14E+17,8.14E+17,12/27/2016,kimtee1538,I'm trying not to be  enough to start posting song lyrics. Can I just sleep until 2017?,['#depressed'],I'm trying not to be #depressed enough to start posting song lyrics. Can I just sleep until 2017?,0
449,8.14E+17,8.14E+17,12/27/2016,kassie5phillips,"""Me Before You"" has me crying my eyes out right now ",['#depressed'],"""Me Before You"" has me crying my eyes out right now #depressed",0
451,8.14E+17,8.14E+17,12/27/2016,zippyswimer,10pm laying in bed eating a chocolate SANTA ???Ö...   is over,"['#depressed', '#christmas']",10pm laying in bed eating a chocolate SANTA ???Ö... #depressed #Christmas is over,0
454,8.14E+17,8.14E+17,12/27/2016,reallyzagh,Is it me or  people write better ?,['#depressed'],Is it me or #depressed people write better ?,0
461,8.14E+17,8.14E+17,12/27/2016,drdebcroynp,January & February often worse for people who are . Seek help.,['#depressed'],January & February often worse for people who are #depressed. Seek help.,0
462,8.14E+17,8.14E+17,12/26/2016,_devilbacon,I just wanna lay up with bae rn ,['#depressed'],I just wanna lay up with bae rn #depressed,0
463,8.14E+17,8.14E+17,12/26/2016,pookiev,NOOOO! One of my car speakers just blew out ??î????´???≠???∂ ,['#depressed'],NOOOO! One of my car speakers just blew out ??î????´???≠???∂ #depressed,0
465,8.14E+17,8.14E+17,12/26/2016,imaginewizard,"If you're so  that you had a dream you died and then you were annoyed when you woke up, clap your hands! ??ëè??èΩ??ëè??èΩ??ëè??èΩ","['#depressed', '#depression']","If you're so #depressed that you had a dream you died and then you were annoyed when you woke up, clap your hands! ??ëè??èΩ??ëè??èΩ??ëè??èΩ#depression",0
469,8.13E+17,8.13E+17,12/26/2016,moneymaking_24,When you gotta hold your charger a certain way for your phone to charge feeling  lol,['#depressed'],When you gotta hold your charger a certain way for your phone to charge feeling #depressed lol,0
470,8.13E+17,8.13E+17,12/26/2016,heyjodeci,What a blah day!   pic.twitter.com/sQaReKF3Ly,"['#depressed', '#christmasisover']",What a blah day! #depressed #Christmasisover pic.twitter.com/sQaReKF3Ly,0
472,8.13E+17,8.13E+17,12/26/2016,dabideds,Talking about my sexuality like its a wildfire. ,['#depressed'],Talking about my sexuality like its a wildfire. #Depressed,1
473,8.13E+17,8.13E+17,12/26/2016,dj_t95,We got a whole 364 before Christmas ,['#depressed'],We got a whole 364 before Christmas #depressed,0
475,8.13E+17,8.13E+17,12/26/2016,dat_inner_voice,.  I really don't want to interact with anyone in person  today.,['#depressed'],#depressed.  I really don't want to interact with anyone in person  today.,1
476,8.13E+17,8.13E+17,12/26/2016,shashanklokesh,Biggest regret till now -  Ageing beyond teens!  ,"['#depressed', '#damnlife']",Biggest regret till now -  Ageing beyond teens! #depressed #DamnLife,1
478,8.13E+17,8.13E+17,12/26/2016,rickypatt,"When your entire dance company that you haven't seen in years is getting together, but you're the only one not going ",['#depressed'],"When your entire dance company that you haven't seen in years is getting together, but you're the only one not going #depressed",0
480,8.13E+17,8.13E+17,12/26/2016,sammmynyc,I really just can't live life accepting the fact that Chris Pratt is married to someone else ,['#depressed'],I really just can't live life accepting the fact that Chris Pratt is married to someone else #depressed,0
482,8.13E+17,8.13E+17,12/26/2016,nottatecoleman,Yesterday I lost 500 days worth of streaks with 5 different people ,['#depressed'],Yesterday I lost 500 days worth of streaks with 5 different people #depressed,0
484,8.13E+17,8.13E+17,12/26/2016,twiz_13,I'm trying really hard to find a reason to be positive about today and keep coming up empty   pic.twitter.com/4j8PkbxzMg,['#depressed'],I'm trying really hard to find a reason to be positive about today and keep coming up empty #depressed  pic.twitter.com/4j8PkbxzMg,0
